learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),model training instances,model serialized size (bytes),ensemble size,negative weights,KL-div
237292.0,23.861108975,1.1167495755639554E-6,237292.0,68.2,36.21630295250322,237292.0,184888.0,10.0,0.0,0.0
242685.0,24.387901889,1.1418646581567705E-6,242685.0,77.7,6.381192275398866,242685.0,184288.0,10.0,0.0,0.0
248078.0,24.903469817,1.1657307466911156E-6,248078.0,67.2,31.369266822899238,248078.0,178936.0,10.0,0.0,0.0
253471.0,25.421981601,1.1900679207501855E-6,253471.0,66.8,33.60000000000001,253471.0,181432.0,10.0,0.0,0.0
258864.0,25.945894385,1.213833452428584E-6,258864.0,69.19999999999999,23.03078768492603,258864.0,175344.0,10.0,0.0,0.0
264257.0,26.461131045,1.2375381181453214E-6,264257.0,62.9,21.07994962731016,264257.0,177840.0,10.0,0.0,0.0
269650.0,26.985381047,1.2627977890431471E-6,269650.0,62.6,18.79451103005037,269650.0,186248.0,10.0,0.0,0.0
275043.0,27.522264777,1.2891384179208019E-6,275043.0,66.8,19.61570496058264,275043.0,189648.0,10.0,0.0,0.0
280436.0,28.067216755,1.315966246466931E-6,280436.0,62.1,16.623401765207973,280436.0,190296.0,10.0,0.0,0.0
285829.0,28.589997346,1.3411843301247272E-6,285829.0,64.4,28.003721155985197,285829.0,186464.0,10.0,0.0,0.0
291222.0,29.119397068,1.3656720784253838E-6,291222.0,62.6,21.396865962741277,291222.0,178800.0,10.0,0.0,0.0
296615.0,29.641606413,1.3897796771241232E-6,296615.0,70.7,12.154464232176025,296615.0,178448.0,10.0,0.0,0.0
302008.0,30.161516687,1.4145569427609903E-6,302008.0,64.1,26.191220250333075,302008.0,184216.0,10.0,0.0,0.0
307401.0,30.705031885,1.441120562750416E-6,307401.0,68.89999999999999,31.203822501437855,307401.0,188920.0,10.0,0.0,0.0
312794.0,31.242278516,1.4667418140945443E-6,312794.0,73.6,14.742451154529299,312794.0,184344.0,10.0,0.0,0.0
318187.0,31.771726798,1.4917172254641668E-6,318187.0,64.60000000000001,29.092220174665496,318187.0,182344.0,10.0,0.0,0.0
323580.0,32.306428024,1.5177194924409877E-6,323580.0,67.0,33.91117662137914,323580.0,187976.0,10.0,0.0,0.0
328973.0,32.850751186,1.5419118171852148E-6,328973.0,61.8,23.41343512797173,328973.0,171800.0,10.0,0.0,0.0
334366.0,33.378194498,1.5670557245877698E-6,334366.0,67.10000000000001,30.812584118438764,334366.0,184272.0,10.0,0.0,0.0
339759.0,33.911090306,1.5921353115943387E-6,339759.0,67.30000000000001,34.82940051020409,339759.0,181920.0,10.0,0.0,0.0
345152.0,34.441256574,1.6175450830018668E-6,345152.0,68.10000000000001,32.03221545148507,345152.0,185264.0,10.0,0.0,0.0
350545.0,34.954702248,1.640280054088113E-6,350545.0,63.3,24.048013245033125,350545.0,171160.0,10.0,0.0,0.0
355938.0,35.46698247,1.665022363383611E-6,355938.0,67.60000000000001,33.83947496314207,355938.0,186696.0,10.0,0.0,0.0
361331.0,35.994060192,1.6907815316163151E-6,361331.0,67.0,29.448587261407965,361331.0,188912.0,10.0,0.0,0.0
366724.0,36.52798037,1.716466250522847E-6,366724.0,73.7,35.6703976205385,366724.0,185952.0,10.0,0.0,0.0
372117.0,37.052969676,1.7406771950992387E-6,372117.0,65.10000000000001,28.987099662230907,372117.0,178264.0,10.0,0.0,0.0
377510.0,37.581283218,1.766361178228129E-6,377510.0,66.2,23.45217119536909,377510.0,187920.0,10.0,0.0,0.0
382903.0,38.117413863,1.7927258860421307E-6,382903.0,66.5,27.22327464849928,382903.0,190088.0,10.0,0.0,0.0
388296.0,38.633484975,1.8170606499759482E-6,388296.0,68.7,29.038459794506277,388296.0,182272.0,10.0,0.0,0.0
393689.0,39.155044689,1.8421043422595165E-6,393689.0,64.5,29.272160725528177,393689.0,185608.0,10.0,0.0,0.0
399082.0,39.696866721,1.8685695118839048E-6,399082.0,68.10000000000001,35.96691958729778,399082.0,188808.0,10.0,0.0,0.0
