learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),model training instances,model serialized size (bytes),ensemble size,change detections,[avg] model training instances,[err] model training instances,[avg] model serialized size (bytes),[err] model serialized size (bytes)
10.0,0.030340084,5.829610341456201E-10,10.0,30.0,5.405405405405403,10.0,74272.0,10.0,0.0,9.5,0.8724168218868267,6280.0,80.0
20.0,0.152186407,2.977099539542364E-9,20.0,60.0,13.978494623655905,20.0,75952.0,10.0,0.0,15.4,1.2310790208412925,6280.0,80.0
30.0,0.183761347,3.6040451476515998E-9,30.0,66.66666666666666,9.090909090909062,30.0,76752.0,10.0,0.0,23.6,1.5648926125740668,6360.0,0.0
40.0,0.208088822,4.0976596989524035E-9,40.0,62.5,-3.4482758620689844,40.0,78432.0,10.0,0.0,39.3,2.590795673576406,6360.0,0.0
50.0,0.228004116,4.501749268948204E-9,50.0,64.0,1.531728665207861,50.0,78432.0,10.0,0.0,50.19999999999999,2.598290035987345,6360.0,0.0
60.0,0.24564078,4.859604491769439E-9,60.0,68.33333333333333,13.897280966767372,60.0,78432.0,10.0,0.0,55.4,2.6507860469428053,6360.0,0.0
70.0,0.263986076,5.231838151593175E-9,70.0,64.28571428571429,11.347517730496454,70.0,78432.0,10.0,0.0,72.2,3.414999593297519,6360.0,0.0
80.0,0.282718238,5.62006280273613E-9,80.0,61.25000000000001,10.79136690647482,80.0,80112.0,10.0,0.0,94.60000000000002,5.258221076456263,6360.0,0.0
90.0,0.2995073,5.968016644794908E-9,90.0,56.666666666666664,2.337228714524205,90.0,80112.0,10.0,0.0,120.2,6.248199740725323,6360.0,0.0
100.0,0.316165196,6.313252067346539E-9,100.0,54.0,-0.8771929824561412,100.0,80112.0,10.0,0.0,130.7,6.665083145267832,6360.0,0.0
110.0,0.331925568,6.6398862765522466E-9,110.0,56.36363636363636,4.000000000000001,110.0,80112.0,10.0,0.0,137.20000000000002,6.230391462643239,6360.0,0.0
120.0,0.346654142,6.9451364395063784E-9,120.0,57.49999999999999,7.047387606318332,120.0,80112.0,10.0,0.0,147.2,5.464633768352847,6360.0,0.0
130.0,0.361541086,7.2536688257298536E-9,130.0,57.692307692307686,8.68454661558108,130.0,80112.0,10.0,0.0,156.1,5.762811813689564,6360.0,0.0
140.0,0.37658903,7.565537942056026E-9,140.0,57.85714285714286,9.62800875273525,140.0,80112.0,10.0,0.0,166.2,6.290733926445573,6360.0,0.0
150.0,0.390648802,7.856927162363297E-9,150.0,57.99999999999999,10.017139592458578,150.0,80112.0,10.0,0.0,173.60000000000002,6.294971538193533,6360.0,0.0
160.0,0.40571714,8.148387018603584E-9,160.0,57.49999999999999,10.33459700016482,160.0,74768.0,10.0,1.0,167.4,19.814809276565512,5741.599999999999,618.4
170.0,0.421068052,8.470633529586097E-9,170.0,58.82352941176471,12.448499117127737,170.0,81144.0,10.0,1.0,231.8,52.88452829829659,6362.400000000001,2.400000000000001
180.0,0.436940812,8.804524536890289E-9,180.0,57.22222222222222,10.465116279069754,180.0,81312.0,10.0,1.0,270.3,67.46555499742895,6362.400000000001,2.400000000000001
190.0,0.451983984,9.120964768591027E-9,190.0,59.473684210526315,14.574331425902134,190.0,81312.0,10.0,1.0,280.2,70.21756665298696,6362.400000000001,2.400000000000001
200.0,0.467946088,9.457428909651936E-9,200.0,60.5,17.364016736401666,200.0,81480.0,10.0,1.0,293.3,73.39876626271649,6362.400000000001,2.400000000000001
210.0,0.48405697,9.797029132395984E-9,210.0,60.0,15.975993140897396,210.0,81480.0,10.0,1.0,312.8,78.82044292074373,6362.400000000001,2.400000000000001
220.0,0.49887416,1.010935970650365E-8,220.0,60.909090909090914,17.220861043052174,220.0,81480.0,10.0,1.0,319.2,79.15804163542423,6362.400000000001,2.400000000000001
230.0,0.51356957,1.0419123287995657E-8,230.0,61.73913043478261,18.780096308186195,230.0,81480.0,10.0,1.0,332.4,81.39180957975233,6362.400000000001,2.400000000000001
240.0,0.528331344,1.0730927323972186E-8,240.0,60.83333333333333,17.573986116185594,240.0,81648.0,10.0,1.0,349.5,83.27841523734972,6362.400000000001,2.400000000000001
250.0,0.542031582,1.1020309176196655E-8,250.0,60.8,17.06161137440757,250.0,81648.0,10.0,1.0,358.20000000000005,84.1754516867398,6362.400000000001,2.400000000000001
260.0,0.556516838,1.132627248947819E-8,260.0,61.92307692307693,19.713038053649402,260.0,81648.0,10.0,1.0,370.2,87.30238637440942,6362.400000000001,2.400000000000001
270.0,0.570893978,1.1629952133794626E-8,270.0,62.22222222222222,20.793787748058676,270.0,81648.0,10.0,1.0,380.59999999999997,87.96112777812709,6362.400000000001,2.400000000000001
280.0,0.584599268,1.1919440696363648E-8,280.0,61.78571428571429,20.908130939809926,280.0,81648.0,10.0,1.0,398.5,92.84482274801921,6362.400000000001,2.400000000000001
290.0,0.59899734,1.2223562474672994E-8,290.0,61.03448275862069,19.944300581423754,290.0,81648.0,10.0,1.0,407.1,93.39491420843,6362.400000000001,2.400000000000001
300.0,0.61336861,1.2527118130524955E-8,300.0,60.66666666666667,19.233401779603014,300.0,81648.0,10.0,1.0,417.9,94.62539593341502,6362.400000000001,2.400000000000001
310.0,0.62738155,1.2823104998221001E-8,310.0,61.935483870967744,21.46169701133631,310.0,81648.0,10.0,1.0,424.2,95.23617426634108,6362.400000000001,2.400000000000001
320.0,0.641930288,1.313673233523965E-8,320.0,61.875,21.60642570281125,320.0,83328.0,10.0,1.0,435.20000000000005,95.34449818072007,6362.400000000001,2.400000000000001
330.0,0.656174894,1.3443803494721653E-8,330.0,61.81818181818181,21.13349265961078,330.0,83328.0,10.0,1.0,448.59999999999997,96.0319622718279,6362.400000000001,2.400000000000001
340.0,0.669815804,1.3737860771566632E-8,340.0,61.47058823529412,20.645667046750287,340.0,83328.0,10.0,1.0,459.0,96.85464481490922,6362.400000000001,2.400000000000001
350.0,0.68368765,1.4036896338810525E-8,350.0,62.28571428571429,22.022684310018917,350.0,83328.0,10.0,1.0,464.6,97.08692554155327,6362.400000000001,2.400000000000001
360.0,0.698456786,1.4355274798423055E-8,360.0,61.94444444444444,21.594811140785957,360.0,83328.0,10.0,1.0,477.59999999999997,99.30773719437305,6362.400000000001,2.400000000000001
370.0,0.711922662,1.4645558865020675E-8,370.0,61.891891891891895,21.555949839112255,370.0,83328.0,10.0,1.0,489.30000000000007,100.48936372682543,6362.400000000001,2.400000000000001
380.0,0.72551387,1.4938544715195898E-8,380.0,62.36842105263158,22.38916819012799,380.0,83328.0,10.0,1.0,497.6,101.37567098010581,6362.400000000001,2.400000000000001
390.0,0.740393236,1.5259299404372775E-8,390.0,62.05128205128205,22.544283413848635,390.0,83328.0,10.0,1.0,510.7,101.96154503864027,6362.400000000001,2.400000000000001
400.0,0.754370871,1.5560615466485425E-8,400.0,61.75000000000001,22.688226376958074,400.0,83328.0,10.0,1.0,522.4000000000001,102.78209960883267,6362.400000000001,2.400000000000001
410.0,0.767875311,1.585173085773985E-8,410.0,61.46341463414634,22.45630835527891,410.0,83328.0,10.0,1.0,534.3000000000001,103.32677936204792,6362.400000000001,2.400000000000001
420.0,0.782601711,1.616918805683653E-8,420.0,61.42857142857143,22.704655442710116,420.0,83328.0,10.0,1.0,545.2,103.16252549577614,6362.400000000001,2.400000000000001
430.0,0.796378813,1.6466181226422394E-8,430.0,60.69767441860465,21.548094569793804,430.0,83328.0,10.0,1.0,560.7,103.45692071797055,6362.400000000001,2.400000000000001
440.0,0.809883435,1.675730054105322E-8,440.0,60.909090909090914,22.256692622193018,440.0,83328.0,10.0,1.0,568.6999999999999,104.09985057092487,6362.400000000001,2.400000000000001
450.0,0.824629163,1.7075174394100907E-8,450.0,60.44444444444444,21.760534489831795,450.0,83328.0,10.0,1.0,579.1,103.87647044018732,6362.400000000001,2.400000000000001
460.0,0.838245547,1.7368702963640296E-8,460.0,59.78260869565217,20.594931511962084,460.0,83328.0,10.0,1.0,589.5999999999999,104.49021219446557,6362.400000000001,2.400000000000001
470.0,0.851677051,1.765824607258042E-8,470.0,59.361702127659576,20.43500611561165,470.0,83328.0,10.0,1.0,601.3000000000001,105.89880389629839,6362.400000000001,2.400000000000001
480.0,0.866639673,1.7981445813737813E-8,480.0,59.166666666666664,20.42628774422735,480.0,83496.0,10.0,1.0,610.2,106.43075996471445,6362.400000000001,2.400000000000001
490.0,0.879775483,1.8265185548116765E-8,490.0,59.591836734693885,21.21162904011695,490.0,83496.0,10.0,1.0,617.3000000000002,106.81677458776467,6362.400000000001,2.400000000000001
500.0,0.893234375,1.8555904007131855E-8,500.0,59.599999999999994,21.074018504626153,500.0,83496.0,10.0,1.0,625.5,107.81148671021407,6362.400000000001,2.400000000000001
510.0,0.906996963,1.8853182443976404E-8,510.0,59.80392156862745,21.56200765248705,510.0,83496.0,10.0,1.0,633.1999999999999,108.20554514441484,6362.400000000001,2.400000000000001
520.0,0.920685367,1.914885847118994E-8,520.0,60.0,21.78189181371131,520.0,83496.0,10.0,1.0,642.5,108.44622323222386,6362.400000000001,2.400000000000001
530.0,0.933753669,1.9431140000708403E-8,530.0,60.56603773584905,22.809438195983322,530.0,83496.0,10.0,1.0,649.7,109.1278607872435,6362.400000000001,2.400000000000001
540.0,0.947283565,1.9723392179844282E-8,540.0,60.370370370370374,22.40962561100071,540.0,83496.0,10.0,1.0,659.1999999999999,109.10848831425638,6362.400000000001,2.400000000000001
550.0,0.960190575,2.000218972556293E-8,550.0,60.909090909090914,23.32083987186637,550.0,83496.0,10.0,1.0,665.0,109.23644080617053,6362.400000000001,2.400000000000001
