learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),model training instances,model serialized size (bytes),ensemble size,change detections,[avg] model training instances,[err] model training instances,[avg] model serialized size (bytes),[err] model serialized size (bytes)
7.0,0.006375,6.656240050991376E-11,7.0,71.42857142857143,0.0,7.0,40360.0,10.0,0.0,5.0,0.6992058987801011,2880.8,59.22702086041472
14.0,0.022396,2.3745436842242876E-10,14.0,64.28571428571429,0.0,14.0,41232.0,10.0,0.0,12.8,1.133333333333333,2968.0,0.0
21.0,0.032092,3.450932043294112E-10,21.0,76.19047619047619,22.22222222222221,21.0,42912.0,10.0,0.0,18.0,0.8819171036881968,2968.0,0.0
28.0,0.039603,4.2847555751601857E-10,28.0,75.0,37.17948717948718,28.0,42912.0,10.0,0.0,23.099999999999998,1.5235193176035249,2968.0,0.0
35.0,0.04676,5.079280274609725E-10,35.0,77.14285714285715,44.22310756972113,35.0,42912.0,10.0,0.0,26.1,1.7854348987789437,2968.0,0.0
42.0,0.053304,5.834194955726464E-10,42.0,76.19047619047619,38.41642228739002,42.0,44592.0,10.0,0.0,31.9,2.0190756961210408,2968.0,0.0
49.0,0.056791,6.236454658210277E-10,49.0,79.59183673469387,50.0,49.0,44592.0,10.0,0.0,37.6,2.41844761962894,2968.0,0.0
56.0,0.060592,6.674937345087528E-10,56.0,82.14285714285714,56.249999999999986,56.0,44592.0,10.0,0.0,40.9,3.0603195185397807,2968.0,0.0
63.0,0.064035,7.072121215363343E-10,63.0,84.12698412698413,58.11170212765958,63.0,44592.0,10.0,0.0,42.5,3.6855573979159972,2968.0,0.0
70.0,0.067688,7.493530648450056E-10,70.0,82.85714285714286,55.17609391675562,70.0,44592.0,10.0,0.0,53.4,4.158525379666852,2968.0,0.0
77.0,0.070837,7.870484826465447E-10,77.0,84.4155844155844,59.50920245398772,77.0,46272.0,10.0,0.0,55.6,4.5733527696379985,2968.0,0.0
84.0,0.073928,8.240496056775251E-10,84.0,85.71428571428571,65.02428868841082,84.0,46272.0,10.0,0.0,58.60000000000001,5.038077234642421,2968.0,0.0
91.0,0.076779,8.581777848303317E-10,91.0,85.71428571428571,65.43967280163598,91.0,46272.0,10.0,0.0,70.1,5.516540784062257,2968.0,0.0
98.0,0.079668,8.927608467638492E-10,98.0,86.73469387755102,67.87695410993445,98.0,46272.0,10.0,0.0,71.8,5.9606114526018965,2968.0,0.0
105.0,0.082556,9.273319380978743E-10,105.0,86.66666666666667,68.58974358974359,105.0,46272.0,10.0,0.0,92.1,6.597053214209439,2968.0,0.0
112.0,0.085218,9.59197673946619E-10,112.0,86.60714285714286,68.60986547085203,112.0,46272.0,10.0,0.0,110.79999999999998,6.982199589750431,2968.0,0.0
119.0,0.088005,9.925597347319125E-10,119.0,85.71428571428571,65.9025787965616,119.0,46272.0,10.0,0.0,124.6,8.184266749209865,2968.0,0.0
126.0,0.091035,1.028830651193857E-9,126.0,86.5079365079365,67.23768736616704,126.0,46272.0,10.0,0.0,125.8,8.22840608299485,2968.0,0.0
133.0,0.094151,1.0661310392121473E-9,133.0,86.46616541353383,67.3841961852861,133.0,46272.0,10.0,0.0,141.6,9.110677496456805,2968.0,0.0
140.0,0.096987,1.100079659372568E-9,140.0,85.71428571428571,66.44295302013423,140.0,46272.0,10.0,0.0,173.9,8.484561142320667,2968.0,0.0
147.0,0.100019,1.1363745170334972E-9,147.0,86.39455782312925,67.57114493712771,147.0,46272.0,10.0,0.0,175.3,8.08434701547791,2968.0,0.0
154.0,0.102663,1.1680247820913788E-9,154.0,87.01298701298701,69.00784866170255,154.0,46272.0,10.0,0.0,176.9,7.738001464633273,2968.0,0.0
161.0,0.105605,1.2045209296047685E-9,161.0,86.95652173913044,69.70701550040319,161.0,47952.0,10.0,0.0,194.6,10.235233265539186,2968.0,0.0
168.0,0.108462,1.2399626336991784E-9,168.0,87.5,70.91029023746702,168.0,47952.0,10.0,0.0,198.60000000000002,9.522137948544492,2968.0,0.0
175.0,0.111389,1.2762727029621598E-9,175.0,88.0,72.29551451187335,175.0,47952.0,10.0,0.0,200.1,9.080442965210697,2968.0,0.0
182.0,0.114446,1.3141954503953455E-9,182.0,88.46153846153845,73.30632769939935,182.0,47952.0,10.0,0.0,204.4,8.113363462009247,2968.0,0.0
189.0,0.116848,1.3439927808940408E-9,189.0,88.88888888888889,74.69234202639801,189.0,47952.0,10.0,0.0,206.3,7.8231139011975985,2968.0,0.0
196.0,0.119424,1.375948619097471E-9,196.0,88.77551020408163,74.68294974166275,196.0,47952.0,10.0,0.0,217.0,7.049034606872694,2968.0,0.0
203.0,0.12196,1.407408248633146E-9,203.0,89.16256157635468,75.10868353583771,203.0,47952.0,10.0,0.0,218.39999999999998,6.826744791219637,2968.0,0.0
