"time","bagging","boosting","bagging_adwin","boosting_adwin","pame1","pame2","pame3","pame1adwin","pame2adwin","pame3adwin"
111,8.92303932422565e-09,8.94039861825191e-09,1.0215046390055e-08,1.0762594783393e-08,7.08193714806396e-09,7.1880349013706e-09,7.15008419497352e-09,8.38735339965258e-09,8.62701553107136e-09,8.40848417975423e-09
114,9.10892603947884e-09,9.12878793485877e-09,1.04409535695737e-08,1.09975688413324e-08,7.22060407784043e-09,7.32853262782925e-09,7.29305835900414e-09,8.5439945357624e-09,8.79404273704522e-09,8.56649234950957e-09
117,9.29111482831339e-09,9.31178752012137e-09,1.06620427028793e-08,1.12248231748285e-08,7.35694321694266e-09,7.46425986775921e-09,7.43148405489201e-09,8.70939468349848e-09,8.97102500327759e-09,8.73277039766726e-09
120,9.47964857341928e-09,9.49219706394606e-09,1.0886076860076e-08,1.14547729187666e-08,7.49856822912685e-09,7.6081661405911e-09,7.57342725200578e-09,8.88201418529782e-09,9.15349539679372e-09,8.90612554826256e-09
123,9.66670214882741e-09,9.67336762092594e-09,1.11200382517899e-08,1.16939001496302e-08,7.62759117687121e-09,7.7398395705637e-09,7.7019186562072e-09,9.0534658637974e-09,9.32986870855921e-09,9.07547606468615e-09
126,9.85107432975537e-09,9.85227137893025e-09,1.13398679691346e-08,1.19214871851065e-08,7.76697202351151e-09,7.88277272340738e-09,7.84290175720842e-09,9.22642228580598e-09,9.50908181671881e-09,9.24702670921054e-09
129,1.00393894867516e-08,1.00336708320884e-08,1.15729353183094e-08,1.21632180400151e-08,7.90796705316959e-09,8.02596674308595e-09,7.98541718590384e-09,9.41080220875227e-09,9.70144977295978e-09,9.43216299016443e-09
132,1.02274592718068e-08,1.02142079042354e-08,1.17968351717211e-08,1.23958682359051e-08,8.04780466751713e-09,8.16920247811824e-09,8.12667436064738e-09,9.58832538065397e-09,9.8843744739352e-09,9.60763068933454e-09
135,1.04142135093527e-08,1.03952496020206e-08,1.20178666349376e-08,1.26258692572224e-08,8.18870190138411e-09,8.31426187113341e-09,8.26816852388903e-09,9.75011560248418e-09,1.00513593756614e-08,9.76776915012962e-09
138,1.06029524713837e-08,1.05752789208045e-08,1.22379187628089e-08,1.28571031712906e-08,8.31626034130446e-09,8.44602507010516e-09,8.39766441023805e-09,9.92676973290328e-09,1.02337966306466e-08,9.94127263117995e-09
141,1.0807614373573e-08,1.07696345175844e-08,1.24725018757623e-08,1.30891071231415e-08,8.45837060445092e-09,8.58774194577088e-09,8.54072949702334e-09,1.01050925036189e-08,1.04164079176096e-08,1.01184898828425e-08
144,1.09980099285849e-08,1.0950582766119e-08,1.26980502950359e-08,1.33342613320177e-08,8.59966055835908e-09,8.73006034001294e-09,8.68338957155951e-09,1.02862920329306e-08,1.06017808966794e-08,1.02964477339718e-08
147,1.11904710049306e-08,1.11359347469691e-08,1.29249657791067e-08,1.3569974394569e-08,8.73880029693867e-09,8.87052570094251e-09,8.82511673684128e-09,1.04573404528035e-08,1.0781150160792e-08,1.04709854853153e-08
150,1.13835292046476e-08,1.13183038953278e-08,1.3156925826677e-08,1.38038763407162e-08,8.88211299593871e-09,9.01377107585056e-09,8.9687823472441e-09,1.06334326240089e-08,1.09648807351747e-08,1.06475188051992e-08
153,1.15735606126694e-08,1.14995766537471e-08,1.33841440337482e-08,1.40483621491657e-08,9.00760821993773e-09,9.14455830638194e-09,9.09617075587519e-09,1.08026078817579e-08,1.11394845657506e-08,1.08145491788122e-08
156,1.17542072975677e-08,1.16809933965736e-08,1.36076179849067e-08,1.42880910130093e-08,9.13890992552663e-09,9.27812565713707e-09,9.22964829395421e-09,1.09593451358378e-08,1.13033892881249e-08,1.09697808359149e-08
159,1.19385799692406e-08,1.18718980983231e-08,1.38312488488646e-08,1.45294550807898e-08,9.27501661379925e-09,9.41511364674817e-09,9.3653259490658e-09,1.11323500334099e-08,1.14846603171155e-08,1.11404527649242e-08
162,1.21256194317175e-08,1.20592262937294e-08,1.40867170267697e-08,1.4797131351543e-08,9.41140575178588e-09,9.55268725111667e-09,9.50186311876401e-09,1.13203505832495e-08,1.16809581917069e-08,1.1326494325892e-08
165,1.23133291041272e-08,1.22460953472389e-08,1.43130481315425e-08,1.50411146310841e-08,9.54814003501294e-09,9.68855235406508e-09,9.63838760596803e-09,1.14959964866481e-08,1.18651551402153e-08,1.1500196529722e-08
168,1.2498829131143e-08,1.24397620040509e-08,1.4538268096209e-08,1.5289573175249e-08,9.67283993662438e-09,9.81259764160547e-09,9.76267088984656e-09,1.1674426545716e-08,1.20504537820982e-08,1.16733418410106e-08
171,1.26959006081315e-08,1.26402904158913e-08,1.47601972737018e-08,1.55289612317209e-08,9.80698449768747e-09,9.94801404658705e-09,9.89674383919479e-09,1.18436217472619e-08,1.22296894581036e-08,1.18419213964252e-08
174,1.28798419444222e-08,1.28309116900298e-08,1.49860442985036e-08,1.57762350363409e-08,9.94239317044823e-09,1.00831505664562e-08,1.00328812915025e-08,1.20150460223771e-08,1.24128141552003e-08,1.20147928434817e-08
177,1.30632010420577e-08,1.30202124517245e-08,1.52122981452714e-08,1.60207875912761e-08,1.00798189597142e-08,1.02216715999734e-08,1.01701351629963e-08,1.21764308577321e-08,1.2582388925867e-08,1.21738855713813e-08
180,1.32480827519049e-08,1.3213550864367e-08,1.543785349885e-08,1.6263688802893e-08,1.02158893757955e-08,1.03616775745774e-08,1.03085960767232e-08,1.23517457266814e-08,1.27675198636742e-08,1.23467446434332e-08
183,1.34356890609136e-08,1.34005759174584e-08,1.56752402200902e-08,1.65138405556066e-08,1.03401002676433e-08,1.04873714921913e-08,1.04352440723549e-08,1.25245978869415e-08,1.29495916506814e-08,1.25178673657609e-08
186,1.3619233780911e-08,1.35963375718354e-08,1.5898058310178e-08,1.67577269640896e-08,1.0475013900927e-08,1.062070895837e-08,1.05692796374795e-08,1.26961330818302e-08,1.31296375790777e-08,1.26873411083801e-08
189,1.38024579392725e-08,1.37849759229107e-08,1.61237525767605e-08,1.70015948869495e-08,1.06111769600523e-08,1.07551373857384e-08,1.07074745924543e-08,1.28709651775327e-08,1.33108434809124e-08,1.28624907229924e-08
192,1.39859988906586e-08,1.39706672010778e-08,1.63626771024594e-08,1.72546017793028e-08,1.07479667923579e-08,1.08907877529868e-08,1.08459073941761e-08,1.30603295892974e-08,1.35053336851671e-08,1.30512784598188e-08
195,1.41700088116382e-08,1.41540853438733e-08,1.65871768489128e-08,1.74907952323804e-08,1.08843934161858e-08,1.10261992092969e-08,1.09824975132549e-08,1.32336751699944e-08,1.36878369400443e-08,1.32254537040575e-08
198,1.4352456607978e-08,1.4334719309455e-08,1.6811422966075e-08,1.77262137780628e-08,1.10086397325061e-08,1.11515566122408e-08,1.11059920848678e-08,1.33927006933921e-08,1.38560077613799e-08,1.33862865313474e-08
