learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),model training instances,model serialized size (bytes),ensemble size,negative weights,KL-div
48.0,0.692043812,6.402908641319308E-8,48.0,93.75,0.0,48.0,357640.0,10.0,0.0,0.0
96.0,0.86636031,8.023291023888936E-8,96.0,96.875,0.0,96.0,359320.0,10.0,0.0,0.0
144.0,0.92618487,8.579398243694256E-8,144.0,97.91666666666666,0.0,144.0,359320.0,10.0,0.0,0.0
192.0,0.983950986,9.118881536033005E-8,192.0,98.4375,0.0,192.0,361000.0,10.0,0.0,0.0
240.0,1.036220126,9.607028042800311E-8,240.0,98.75,0.0,240.0,361000.0,10.0,0.0,0.0
288.0,1.087994488,1.0090553770417141E-7,288.0,98.95833333333334,0.0,288.0,361000.0,10.0,0.0,0.0
336.0,1.139603988,1.0574782873665293E-7,336.0,99.10714285714286,0.0,336.0,362680.0,10.0,0.0,0.0
384.0,1.189524136,1.1043161534571814E-7,384.0,99.21875,0.0,384.0,362680.0,10.0,0.0,0.0
432.0,1.238929004,1.1506705551230246E-7,432.0,99.30555555555556,0.0,432.0,362680.0,10.0,0.0,0.0
480.0,1.289807858,1.198407932634362E-7,480.0,99.375,0.0,480.0,362680.0,10.0,0.0,0.0
528.0,1.3391349,1.2446893136079113E-7,528.0,99.43181818181817,0.0,528.0,362680.0,10.0,0.0,0.0
576.0,1.384083166,1.286862282804938E-7,576.0,99.47916666666666,0.0,576.0,362680.0,10.0,0.0,0.0
624.0,1.42834853,1.3283945152711952E-7,624.0,99.51923076923077,0.0,624.0,362680.0,10.0,0.0,0.0
672.0,1.473773582,1.371212256765821E-7,672.0,99.55357142857143,0.0,672.0,364360.0,10.0,0.0,0.0
720.0,1.518441192,1.4133160319725672E-7,720.0,99.58333333333333,0.0,720.0,364360.0,10.0,0.0,0.0
768.0,1.562976822,1.4552954025771468E-7,768.0,99.609375,0.0,768.0,364360.0,10.0,0.0,0.0
816.0,1.60649201,1.4963129025873624E-7,816.0,99.63235294117648,0.0,816.0,364360.0,10.0,0.0,0.0
864.0,1.650046864,1.5373677918455666E-7,864.0,99.65277777777779,0.0,864.0,364360.0,10.0,0.0,0.0
912.0,1.694612731,1.5793756639045766E-7,912.0,99.67105263157895,0.0,912.0,364360.0,10.0,0.0,0.0
960.0,1.737974563,1.6202486102538597E-7,960.0,99.6875,0.0,960.0,364360.0,10.0,0.0,0.0
1008.0,1.782064845,1.6618081949759896E-7,1008.0,100.0,?,1008.0,364360.0,10.0,0.0,0.0
1056.0,1.824991175,1.7022706363013843E-7,1056.0,100.0,?,1056.0,364360.0,10.0,0.0,0.0
1104.0,1.870988129,1.7456274537225772E-7,1104.0,100.0,?,1104.0,364360.0,10.0,0.0,0.0
1152.0,1.913694287,1.7858823604967652E-7,1152.0,100.0,?,1152.0,364360.0,10.0,0.0,0.0
1200.0,1.956321435,1.826062792292796E-7,1200.0,100.0,?,1200.0,364360.0,10.0,0.0,0.0
1248.0,1.999707443,1.8669585269862373E-7,1248.0,100.0,?,1248.0,364360.0,10.0,0.0,0.0
1296.0,2.042627877,1.9076019503197945E-7,1296.0,100.0,?,1296.0,366040.0,10.0,0.0,0.0
1344.0,2.086272273,1.9489309280921397E-7,1344.0,100.0,?,1344.0,366040.0,10.0,0.0,0.0
1392.0,2.129033579,1.9894236654687882E-7,1392.0,100.0,?,1392.0,366040.0,10.0,0.0,0.0
1440.0,2.172644293,2.030720748135303E-7,1440.0,100.0,?,1440.0,366040.0,10.0,0.0,0.0
1488.0,2.215510625,2.0713129396828723E-7,1488.0,100.0,?,1488.0,366040.0,10.0,0.0,0.0
1536.0,2.258984171,2.1124801313727062E-7,1536.0,100.0,?,1536.0,366040.0,10.0,0.0,0.0
1584.0,2.302204517,2.1534075558041742E-7,1584.0,100.0,?,1584.0,366040.0,10.0,0.0,0.0
1632.0,2.345301215,2.194217891997244E-7,1632.0,100.0,?,1632.0,366040.0,10.0,0.0,0.0
1680.0,2.387836235,2.234496348276631E-7,1680.0,100.0,?,1680.0,366040.0,10.0,0.0,0.0
1728.0,2.430816447,2.2751963782735793E-7,1728.0,100.0,?,1728.0,366040.0,10.0,0.0,0.0
1776.0,2.473210063,2.3153409323041433E-7,1776.0,100.0,?,1776.0,366040.0,10.0,0.0,0.0
1824.0,2.536485827,2.3734355812085794E-7,1824.0,98.9,0.0,1824.0,354896.0,10.0,0.0,0.0
1872.0,2.647156741,2.4819067865675316E-7,1872.0,98.5,84.66383117945361,1872.0,378864.0,10.0,0.0,0.0
1920.0,2.716140486,2.5441812635600154E-7,1920.0,98.5,91.6346926028375,1920.0,348952.0,10.0,0.0,0.0
1968.0,2.82462974,2.650222282885305E-7,1968.0,98.5,94.03815580286168,1968.0,377824.0,10.0,0.0,0.0
2016.0,2.923092896,2.7465918405970354E-7,2016.0,98.5,95.23313164183658,2016.0,378328.0,10.0,0.0,0.0
2064.0,2.99726189,2.819409443047933E-7,2064.0,98.5,95.92975296313983,2064.0,379504.0,10.0,0.0,0.0
2112.0,3.067619272,2.8885154612670347E-7,2112.0,98.5,96.36951554815474,2112.0,379672.0,10.0,0.0,0.0
2160.0,3.141276226,2.9608943784693884E-7,2160.0,98.5,96.65620430145879,2160.0,379840.0,10.0,0.0,0.0
2208.0,3.225716712,3.0440532168522073E-7,2208.0,98.5,96.8407750631845,2208.0,380680.0,10.0,0.0,0.0
2256.0,3.297708404,3.115077365803761E-7,2256.0,98.5,96.94993005172918,2256.0,381352.0,10.0,0.0,0.0
2304.0,3.368652378,3.1850678777171515E-7,2304.0,98.5,96.99740575857541,2304.0,381352.0,10.0,0.0,0.0
2352.0,3.440168338,3.2556226883396517E-7,2352.0,98.5,96.98872578935534,2352.0,381352.0,10.0,0.0,0.0
2400.0,3.564439706,3.3869015756650115E-7,2400.0,98.5,96.92290018708766,2400.0,408344.0,10.0,0.0,0.0
2448.0,3.742417435,3.5749152638366456E-7,2448.0,98.5,96.79213002566296,2448.0,408344.0,10.0,0.0,0.0
2496.0,3.805222985,3.641316939216377E-7,2496.0,98.5,96.57934104425875,2496.0,408680.0,10.0,0.0,0.0
2544.0,3.868489213,3.7083981462718927E-7,2544.0,98.5,96.251948986527,2544.0,409856.0,10.0,0.0,0.0
2592.0,3.933043859,3.776845463452261E-7,2592.0,98.5,95.74694914485323,2592.0,409856.0,10.0,0.0,0.0
