learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),model training instances,model serialized size (bytes),ensemble size,change detections,[avg] model training instances,[err] model training instances,[avg] model serialized size (bytes),[err] model serialized size (bytes)
6460.0,0.454992868,6.4697917125105046E-9,6460.0,79.10000000000001,49.80305504851572,6460.0,57512.0,10.0,22.0,25734.199999999997,11140.05575968491,3288.0,0.0
6650.0,0.466280039,6.638217266940824E-9,6650.0,80.10000000000001,51.95557701593433,6650.0,57680.0,10.0,22.0,26015.8,11253.658925779551,3288.0,0.0
6840.0,0.477370621,6.8003352379778205E-9,6840.0,80.10000000000001,51.878899260047405,6840.0,56504.0,10.0,24.0,29254.6,13717.628662256298,3288.0,0.0
7030.0,0.487843071,6.955238189873183E-9,7030.0,79.0,49.46261918398976,7030.0,57176.0,10.0,24.0,30499.8,14626.038479217656,3288.0,0.0
7220.0,0.498728887,7.11720166599792E-9,7220.0,78.60000000000001,47.96706850354261,7220.0,57512.0,10.0,24.0,31026.6,14969.365489559,3288.0,0.0
7410.0,0.509664955,7.28038811158182E-9,7410.0,77.5,45.266128247543044,7410.0,57680.0,10.0,24.0,31391.0,15174.635478689797,3288.0,0.0
7600.0,0.520698396,7.445507075496847E-9,7600.0,77.5,45.21815348656018,7600.0,57848.0,10.0,24.0,31686.8,15334.492871229155,3288.0,0.0
7790.0,0.532022249,7.615464301755032E-9,7790.0,76.7,42.00517722023097,7790.0,58016.0,10.0,24.0,31961.699999999997,15468.422038355,3288.0,0.0
7980.0,0.543876593,7.790292290002109E-9,7980.0,77.5,44.17427550615323,7980.0,57008.0,10.0,25.0,33778.9,17013.433092347284,3288.0,0.0
8170.0,0.555480621,7.963950270372961E-9,8170.0,77.8,45.3603020443123,8170.0,57848.0,10.0,25.0,36428.0,19202.643880466043,3288.0,0.0
8360.0,0.567165526,8.136593751392018E-9,8360.0,76.5,44.224507039579244,8360.0,57112.0,10.0,26.0,37144.700000000004,19746.82027795868,3248.0,40.0
8550.0,0.578329943,8.303187588157341E-9,8550.0,77.0,45.69016000151123,8550.0,57680.0,10.0,26.0,37576.8,20029.559687177898,3288.0,0.0
8740.0,0.588956785,8.462683529177062E-9,8740.0,75.2,43.66197183098592,8740.0,58016.0,10.0,26.0,37928.50000000001,20242.264899215206,3288.0,0.0
8930.0,0.600274033,8.63303348950421E-9,8930.0,74.8,43.289224952741016,8930.0,58184.0,10.0,26.0,38228.200000000004,20408.085109583404,3288.0,0.0
9120.0,0.611585259,8.803292805227557E-9,9120.0,74.5,42.40203829022144,9120.0,58184.0,10.0,26.0,38493.3,20545.01782755236,3288.0,0.0
