learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),model training instances,model serialized size (bytes),ensemble size,negative weights,KL-div
7.0,0.019155706,1.734854642219014E-10,7.0,28.57142857142857,-20.689655172413797,7.0,35008.0,10.0,0.0,0.0
14.0,0.0844075,7.752481506930456E-10,14.0,35.714285714285715,-34.04255319148937,14.0,35648.0,10.0,0.0,0.0
21.0,0.127660309,1.1929310243866508E-9,21.0,52.38095238095239,5.4054054054054115,21.0,37328.0,10.0,0.0,0.0
28.0,0.145347733,1.3637345919551119E-9,28.0,60.71428571428571,22.222222222222214,28.0,37328.0,10.0,0.0,0.0
35.0,0.158573355,1.4914515178857576E-9,35.0,62.857142857142854,26.01626016260163,35.0,37328.0,10.0,0.0,0.0
42.0,0.167086701,1.5773630764045646E-9,42.0,66.66666666666666,33.33333333333333,42.0,39008.0,10.0,0.0,0.0
49.0,0.173573259,1.6428215115724336E-9,49.0,65.3061224489796,29.823083403538327,49.0,39008.0,10.0,0.0,0.0
56.0,0.180099806,1.7086834916348257E-9,56.0,66.07142857142857,31.96930946291559,56.0,39008.0,10.0,0.0,0.0
63.0,0.18724834,1.7808221897524262E-9,63.0,69.84126984126983,38.13953488372091,63.0,39008.0,10.0,0.0,0.0
70.0,0.194435098,1.8533466214479669E-9,70.0,71.42857142857143,41.715237302248134,70.0,39008.0,10.0,0.0,0.0
77.0,0.201676606,1.929570841097997E-9,77.0,71.42857142857143,41.706813489332426,77.0,40688.0,10.0,0.0,0.0
84.0,0.208131406,1.9975141607763036E-9,84.0,71.42857142857143,41.25874125874126,84.0,40688.0,10.0,0.0,0.0
91.0,0.215334018,2.073328960558606E-9,91.0,73.62637362637363,44.876325088339236,91.0,40688.0,10.0,0.0,0.0
98.0,0.222337536,2.1470480939704507E-9,98.0,74.48979591836735,46.52989960715846,98.0,40688.0,10.0,0.0,0.0
105.0,0.229493324,2.222370023640493E-9,105.0,73.33333333333333,43.46153846153845,105.0,40688.0,10.0,0.0,0.0
112.0,0.236039902,2.2912793998958333E-9,112.0,73.21428571428571,43.39622641509433,112.0,40688.0,10.0,0.0,0.0
119.0,0.242584838,2.3601714924350377E-9,119.0,70.58823529411765,38.23224084235505,119.0,40688.0,10.0,0.0,0.0
