learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),model training instances,model serialized size (bytes),tree size (nodes),tree size (leaves),active learning leaves,tree depth,active leaf byte size estimate,inactive leaf byte size estimate,byte size estimate overhead
35.0,0.086331252,1.3053949241215987E-10,35.0,77.14285714285715,40.17094017094017,35.0,6440.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
36.0,0.087007582,1.3166628024437363E-10,36.0,77.77777777777779,40.74074074074075,36.0,6440.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
37.0,0.087780295,1.329536452972227E-10,37.0,78.37837837837837,45.18518518518518,37.0,6440.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
38.0,0.089049167,1.3506762742168376E-10,38.0,78.94736842105263,45.71428571428573,38.0,6440.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
39.0,0.089748636,1.3623296558236085E-10,39.0,79.48717948717949,46.20689655172411,39.0,6440.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
40.0,0.090503391,1.3749041202167672E-10,40.0,80.0,46.66666666666668,40.0,6440.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
41.0,0.091233483,1.387067690988382E-10,41.0,80.48780487804879,47.096774193548384,41.0,6440.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
42.0,0.091994985,1.3997545626014474E-10,42.0,78.57142857142857,42.900302114803615,42.0,6440.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
43.0,0.092681339,1.4111894440319806E-10,43.0,79.06976744186046,43.3382137628111,43.0,6440.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
44.0,0.093464511,1.4242373449107015E-10,44.0,79.54545454545455,43.749999999999986,44.0,6440.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
45.0,0.094287601,1.437950292684966E-10,45.0,80.0,44.13793103448276,45.0,6440.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
46.0,0.095041102,1.4505038650292492E-10,46.0,80.43478260869566,44.50402144772118,46.0,6440.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
47.0,0.09572769,1.4619426449760797E-10,47.0,80.85106382978722,44.85006518904821,47.0,6440.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
48.0,0.096503749,1.4748720409555569E-10,48.0,81.25,45.17766497461928,48.0,6440.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
49.0,0.097185454,1.486229468530251E-10,49.0,79.59183673469387,41.38755980861244,49.0,6440.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
50.0,0.097645852,1.4938998493262464E-10,50.0,80.0,41.72494172494173,50.0,6440.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
51.0,0.098103495,1.5015243309239548E-10,51.0,80.3921568627451,42.04545454545456,51.0,6440.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
52.0,0.098477277,1.5077516609181962E-10,52.0,80.76923076923077,42.35033259423504,52.0,6440.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
53.0,0.099519714,1.5251190012320877E-10,53.0,79.24528301886792,38.95287958115185,53.0,6440.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
54.0,0.099924661,1.5318655502878958E-10,54.0,79.62962962962963,42.774566473988436,54.0,6440.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
55.0,0.100289934,1.537951117567718E-10,55.0,80.0,43.08560677328316,55.0,6440.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
56.0,0.100612064,1.5433179084004628E-10,56.0,78.57142857142857,39.89266547406082,56.0,6440.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
57.0,0.100972762,1.5493272546885744E-10,57.0,78.94736842105263,40.20979020979023,57.0,6440.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
58.0,0.101315736,1.5550413133576514E-10,58.0,79.3103448275862,40.51282051282051,58.0,6440.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
59.0,0.102246096,1.5705414143080515E-10,59.0,77.96610169491525,37.591537835638746,59.0,6440.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
60.0,0.102616317,1.576709416881204E-10,60.0,78.33333333333333,40.90909090909089,60.0,6440.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
61.0,0.10303718,1.5837211316865354E-10,61.0,78.68852459016394,43.7987243090007,61.0,6440.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
62.0,0.10340142,1.5897894888495408E-10,62.0,79.03225806451613,44.10540915395285,62.0,6440.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
63.0,0.103773908,1.5959952603818645E-10,63.0,79.36507936507937,44.39918533604888,63.0,6440.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
64.0,0.104147629,1.6022215740962164E-10,64.0,79.6875,44.680851063829785,64.0,6440.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
65.0,0.104540809,1.6087720810953115E-10,65.0,80.0,47.22048719550281,65.0,6440.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
66.0,0.104897758,1.6147189678210353E-10,66.0,80.3030303030303,47.49082007343939,66.0,6440.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
67.0,0.105283894,1.621152119483385E-10,67.0,80.59701492537313,47.750449910018,67.0,6440.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
68.0,0.105636219,1.627029260599779E-10,68.0,79.41176470588235,45.16129032258064,68.0,6448.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
69.0,0.106008292,1.6332358185408847E-10,69.0,79.71014492753623,45.42372881355932,69.0,6448.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
70.0,0.106298583,1.6380781691314449E-10,70.0,80.0,47.70544290288155,70.0,6448.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
71.0,0.106590961,1.6429553330151575E-10,71.0,80.28169014084507,47.95811518324609,71.0,6448.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
72.0,0.106883344,1.6478325803039807E-10,72.0,80.55555555555556,50.000000000000014,72.0,6448.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
73.0,0.107697834,1.6614191060057948E-10,73.0,80.82191780821918,50.243427458617326,73.0,6448.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
74.0,0.107994451,1.6663669807422496E-10,74.0,81.08108108108108,50.47801147227533,74.0,6448.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
75.0,0.108281425,1.671154000382457E-10,75.0,81.33333333333333,50.70422535211269,75.0,6448.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
76.0,0.108578018,1.676101474774381E-10,76.0,81.57894736842105,50.92250922509226,76.0,6448.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
77.0,0.108914709,1.681717824791041E-10,77.0,81.81818181818183,52.76073619631902,77.0,6448.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
78.0,0.109245465,1.6872351729414532E-10,78.0,82.05128205128204,52.97157622739018,78.0,6448.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
79.0,0.109543906,1.6922134738622443E-10,79.0,81.0126582278481,50.68664169787763,79.0,6448.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
80.0,0.109840312,1.697157828903033E-10,80.0,81.25,50.900163666121124,80.0,6448.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
81.0,0.110142026,1.7021907268092039E-10,81.0,81.48148148148148,51.10663983903421,81.0,6448.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
82.0,0.110549137,1.7089817544031477E-10,82.0,81.70731707317073,51.3064133016627,82.0,6448.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
83.0,0.110880633,1.7145114465099244E-10,83.0,80.72289156626506,49.04067536454336,83.0,6448.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
84.0,0.111255099,1.7207579221369494E-10,84.0,80.95238095238095,49.24471299093655,84.0,6448.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
85.0,0.111590092,1.7263459477780597E-10,85.0,80.0,47.16636197440588,85.0,6448.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
86.0,0.112437281,1.740477926221987E-10,86.0,80.23255813953489,47.37221022318213,86.0,6448.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
87.0,0.112753962,1.7457604889861415E-10,87.0,80.45977011494253,47.57178305565402,87.0,6448.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
88.0,0.11307105,1.7510498409262965E-10,88.0,80.68181818181817,49.322493224932224,88.0,6448.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
89.0,0.113412096,1.756738836794264E-10,89.0,80.89887640449437,49.51618284951617,89.0,6448.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
90.0,0.113744108,1.7622771363084517E-10,90.0,81.11111111111111,51.11821086261982,90.0,6448.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
91.0,0.114058681,1.7675245354779894E-10,91.0,80.21978021978022,49.09881914232443,91.0,6448.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
92.0,0.114359067,1.7725352809867926E-10,92.0,80.43478260869566,49.29577464788732,92.0,6448.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
93.0,0.114652573,1.77743126106345E-10,93.0,79.56989247311827,47.42636120202319,93.0,6448.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
94.0,0.115006326,1.7833322226794231E-10,94.0,79.7872340425532,47.62463343108504,94.0,6448.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
95.0,0.115342667,1.7889427343383433E-10,95.0,78.94736842105263,45.83808437856328,95.0,6448.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
96.0,0.115624361,1.7936416781817874E-10,96.0,79.16666666666666,46.0370994940978,96.0,6448.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
97.0,0.115913779,1.7984694662400418E-10,97.0,79.38144329896907,47.56756756756757,97.0,6448.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
98.0,0.116200414,1.8032508310137525E-10,98.0,78.57142857142857,45.756457564575626,98.0,6448.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
99.0,0.117011986,1.8167886814930373E-10,99.0,78.78787878787878,45.95788926436183,99.0,6448.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
100.0,0.117295346,1.8215154159193238E-10,100.0,79.0,46.15384615384615,100.0,6448.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
101.0,0.117638508,1.827239708830085E-10,101.0,78.21782178217822,44.50549450549451,101.0,6448.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
102.0,0.1179966,1.8332130494010115E-10,102.0,78.43137254901961,44.701823558403156,102.0,6448.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
103.0,0.11834604,1.839042065768606E-10,103.0,77.66990291262135,43.12124849939977,103.0,6448.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
104.0,0.118675685,1.8445408813034493E-10,104.0,77.88461538461539,43.31753554502371,104.0,6448.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
105.0,0.119024466,1.8503589048774703E-10,105.0,77.14285714285715,41.801385681293304,105.0,6448.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
