learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),model training instances,model serialized size (bytes),ensemble size,negative weights,KL-div
45.0,0.427167141,6.2966840249672534E-9,45.0,77.77777777777779,40.00000000000002,45.0,63552.0,10.0,1.0,0.0
46.0,0.433223441,6.3962553374345104E-9,46.0,78.26086956521739,40.41450777202074,46.0,63552.0,10.0,1.0,0.0
47.0,0.439879517,6.5056875358397765E-9,47.0,78.72340425531915,40.80604534005037,47.0,63552.0,10.0,1.0,0.0
48.0,0.446561219,6.6155410499746606E-9,48.0,79.16666666666666,41.176470588235276,48.0,63552.0,10.0,1.0,0.0
49.0,0.453197331,6.7246587554324006E-9,49.0,77.55102040816327,37.54345307068368,49.0,63560.0,10.0,1.0,0.0
50.0,0.459357491,6.8259631229481765E-9,50.0,78.0,37.923250564334104,50.0,63568.0,10.0,1.0,0.0
51.0,0.466045893,6.935954476143751E-9,51.0,78.43137254901961,38.2838283828383,51.0,63568.0,10.0,1.0,0.0
52.0,0.472981953,7.050018586710924E-9,52.0,78.84615384615384,38.62660944206009,52.0,63568.0,10.0,1.0,0.0
53.0,0.479157791,7.151580780301657E-9,53.0,77.35849056603774,35.36585365853657,53.0,63568.0,10.0,1.0,0.0
54.0,0.485954471,7.2633527746341295E-9,54.0,77.77777777777779,39.21200750469044,54.0,63568.0,10.0,1.0,0.0
55.0,0.492724947,7.3746938419052294E-9,55.0,78.18181818181819,39.560439560439576,55.0,63568.0,10.0,1.0,0.0
56.0,0.499613243,7.487972469333973E-9,56.0,76.78571428571429,36.58536585365854,56.0,63568.0,10.0,2.0,0.0
57.0,0.505673023,7.587626079010467E-9,57.0,77.19298245614034,36.936170212765944,57.0,63568.0,10.0,1.0,0.0
58.0,0.512488945,7.699714509708187E-9,58.0,77.58620689655173,37.27121464226291,58.0,63568.0,10.0,1.0,0.0
59.0,0.519325305,7.812153193665049E-9,59.0,76.27118644067797,34.54833597464339,59.0,63576.0,10.0,2.0,0.0
60.0,0.525633031,7.915897351404032E-9,60.0,76.66666666666667,37.86982248520713,60.0,63576.0,10.0,2.0,0.0
61.0,0.532493583,8.028733924975E-9,61.0,77.04918032786885,40.77669902912621,61.0,63576.0,10.0,1.0,0.0
62.0,0.539319553,8.141001722974083E-9,62.0,77.41935483870968,41.11261872455902,62.0,63576.0,10.0,1.0,0.0
63.0,0.546083031,8.25224170525869E-9,63.0,77.77777777777779,41.4342629482072,63.0,63576.0,10.0,1.0,0.0
64.0,0.552726153,8.361502173555396E-9,64.0,78.125,41.74252275682705,64.0,63576.0,10.0,1.0,0.0
65.0,0.559522575,8.473283990969263E-9,65.0,78.46153846153847,44.308445532435734,65.0,63576.0,10.0,1.0,0.0
66.0,0.566401371,8.586420626466476E-9,66.0,78.78787878787878,44.604316546762576,66.0,63576.0,10.0,1.0,0.0
67.0,0.573143507,8.697309593533479E-9,67.0,79.1044776119403,44.88836662749705,67.0,63576.0,10.0,1.0,0.0
68.0,0.579331557,8.799175069116887E-9,68.0,77.94117647058823,42.43792325056434,68.0,63632.0,10.0,1.0,0.0
69.0,0.586025155,8.909362695854575E-9,69.0,78.26086956521739,42.722744881018265,69.0,63632.0,10.0,1.0,0.0
70.0,0.592774799,9.020472931886717E-9,70.0,78.57142857142857,45.0261780104712,70.0,63632.0,10.0,1.0,0.0
71.0,0.598870259,9.120814223860704E-9,71.0,78.87323943661971,45.30046224961478,71.0,63632.0,10.0,1.0,0.0
