learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),model training instances,model serialized size (bytes),ensemble size,negative weights,KL-div
275.0,0.321315578,3.1878741494938736E-9,275.0,64.36363636363637,28.854276663146788,275.0,41464.0,10.0,0.0,0.0
286.0,0.32811627,3.2608235843024324E-9,286.0,64.6853146853147,29.47409541481519,286.0,41464.0,10.0,0.0,0.0
297.0,0.335799808,3.3432431019677062E-9,297.0,64.3097643097643,28.770532603285204,297.0,41464.0,10.0,0.0,0.0
308.0,0.342561664,3.4158459239535866E-9,308.0,63.63636363636363,27.41962632553443,308.0,41504.0,10.0,0.0,0.0
319.0,0.349116044,3.489069698668189E-9,319.0,62.38244514106584,24.891103873170348,319.0,43184.0,10.0,0.0,0.0
330.0,0.357063278,3.5778705121866534E-9,330.0,62.727272727272734,25.574828559903196,330.0,43192.0,10.0,0.0,0.0
341.0,0.363753574,3.65262655025969E-9,341.0,62.75659824046921,25.593182482002646,341.0,43192.0,10.0,0.0,0.0
352.0,0.371494778,3.739125225498445E-9,352.0,62.5,25.06773319571668,352.0,43192.0,10.0,0.0,0.0
363.0,0.377815864,3.8097557843973245E-9,363.0,62.53443526170799,25.2,363.0,43192.0,10.0,0.0,0.0
374.0,0.385487466,3.895476740718716E-9,374.0,63.101604278074866,26.323302689430694,374.0,43192.0,10.0,0.0,0.0
385.0,0.392418792,3.9729260001166E-9,385.0,63.896103896103895,28.0180240769386,385.0,43192.0,10.0,0.0,0.0
396.0,0.398841382,4.044743913457626E-9,396.0,62.878787878787875,25.96907111608505,396.0,43224.0,10.0,0.0,0.0
407.0,0.405929742,4.124006520008876E-9,407.0,63.14496314496314,26.46881699708525,407.0,43224.0,10.0,0.0,0.0
418.0,0.412920646,4.2021793657996595E-9,418.0,62.91866028708134,26.111351869169543,418.0,43224.0,10.0,0.0,0.0
429.0,0.420048166,4.281879862592453E-9,429.0,62.7039627039627,25.66118656182988,429.0,43224.0,10.0,0.0,0.0
440.0,0.42640931,4.3530106818634615E-9,440.0,62.727272727272734,25.707814269535685,440.0,43224.0,10.0,0.0,0.0
451.0,0.434227868,4.440438420656656E-9,451.0,62.74944567627494,25.823820805513662,451.0,43224.0,10.0,0.0,0.0
462.0,0.440444408,4.509952266472911E-9,462.0,62.98701298701299,26.341208719488325,462.0,43224.0,10.0,0.0,0.0
473.0,0.447368378,4.587376650940214E-9,473.0,62.7906976744186,25.955705772480652,473.0,43224.0,10.0,0.0,0.0
484.0,0.454221922,4.6640135262616814E-9,484.0,63.22314049586777,26.8460023096257,484.0,43224.0,10.0,0.0,0.0
495.0,0.460450398,4.733660841381385E-9,495.0,63.030303030303024,26.357849553277447,495.0,43224.0,10.0,0.0,0.0
