learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),model training instances,model serialized size (bytes),ensemble size,change detections,[avg] model training instances,[err] model training instances,[avg] model serialized size (bytes),[err] model serialized size (bytes)
102.0,0.17643643,3.373776360241075E-9,102.0,74.50980392156863,42.671854734111555,102.0,80248.0,10.0,0.0,103.2,5.094223307935285,5528.0,10.0487699634223
105.0,0.17990776,3.4458562859147784E-9,105.0,73.33333333333333,40.845070422535194,105.0,80264.0,10.0,0.0,111.4,4.460194315647395,5529.6,9.375144443331697
108.0,0.183890574,3.528565089388026E-9,108.0,74.07407407407408,43.179255918827494,108.0,80272.0,10.0,0.0,112.20000000000002,4.393935214209088,5530.4,8.68613198661458
111.0,0.187280911,3.598977281043513E-9,111.0,74.77477477477478,45.300950369588186,111.0,80280.0,10.0,0.0,112.7,4.305164856825397,5531.2,8.779774737682278
114.0,0.190991789,3.676077346563753E-9,114.0,73.68421052631578,42.88577154308617,114.0,80312.0,10.0,0.0,118.0,4.253103442063089,5534.400000000001,7.135513685471863
117.0,0.194408608,3.747067815334433E-9,117.0,73.50427350427351,43.28381548084442,117.0,80312.0,10.0,0.0,120.2,4.6685710400030915,5534.400000000001,7.135513685471863
120.0,0.197914709,3.819949557081693E-9,120.0,73.33333333333333,43.12796208530805,120.0,80352.0,10.0,0.0,123.8,4.416635220013836,5538.4,7.733333333333332
123.0,0.201285283,3.8900140828349526E-9,123.0,73.98373983739837,44.45385266723116,123.0,80352.0,10.0,0.0,124.60000000000001,4.597583906551111,5538.4,7.733333333333332
126.0,0.205201775,3.971426671490901E-9,126.0,73.80952380952381,44.24778761061947,126.0,80352.0,10.0,0.0,130.8,4.659041389241639,5538.4,7.733333333333332
129.0,0.208860887,4.047693540052407E-9,129.0,73.64341085271317,43.61018256621238,129.0,80568.0,10.0,0.0,134.5,4.922172058936765,5560.0,7.351492667781447
132.0,0.211981342,4.112733181183123E-9,132.0,74.24242424242425,44.83775811209439,132.0,80568.0,10.0,0.0,136.6,4.780051138731561,5560.0,7.351492667781447
