learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),model training instances,model serialized size (bytes),ensemble size,negative weights,KL-div
375291.0,16.400662224,2.417982824444151E-7,375291.0,100.0,?,375291.0,60120.0,10.0,0.0,0.0
382950.0,16.726485376,2.468658382728076E-7,382950.0,100.0,?,382950.0,60120.0,10.0,0.0,0.0
390609.0,17.05084041,2.519105603342256E-7,390609.0,100.0,?,390609.0,60120.0,10.0,0.0,0.0
398268.0,17.37440299,2.569429572896412E-7,398268.0,100.0,?,398268.0,60120.0,10.0,0.0,0.0
405927.0,17.697423498,2.619669233520827E-7,405927.0,100.0,?,405927.0,60120.0,10.0,0.0,0.0
413586.0,18.021197254,2.670026047461978E-7,413586.0,100.0,?,413586.0,60120.0,10.0,0.0,0.0
421245.0,18.419338821,2.72162468105087E-7,421245.0,100.0,?,421245.0,50096.0,10.0,0.0,0.0
428904.0,18.734818511,2.764358201548955E-7,428904.0,100.0,?,428904.0,52360.0,10.0,0.0,0.0
436563.0,19.052237313,2.808385768686485E-7,436563.0,100.0,?,436563.0,53616.0,10.0,0.0,0.0
444222.0,19.370964441,2.8530763439757143E-7,444222.0,100.0,?,444222.0,54200.0,10.0,0.0,0.0
451881.0,19.696063877,2.894421603237756E-7,451881.0,100.0,?,451881.0,49160.0,10.0,0.0,0.0
459540.0,20.032298639,2.939667290870764E-7,459540.0,100.0,?,459540.0,52016.0,10.0,0.0,0.0
467199.0,20.374212045,2.9861229339151346E-7,467199.0,100.0,?,467199.0,52520.0,10.0,0.0,0.0
474858.0,20.718062537,3.034336201475355E-7,474858.0,100.0,?,474858.0,54200.0,10.0,0.0,0.0
482517.0,21.061439247,3.0824830373192843E-7,482517.0,100.0,?,482517.0,54200.0,10.0,0.0,0.0
490176.0,21.406450261,3.1308590283857883E-7,490176.0,100.0,?,490176.0,54200.0,10.0,0.0,0.0
497835.0,21.751338271,3.1807167149668785E-7,497835.0,100.0,?,497835.0,55880.0,10.0,0.0,0.0
505494.0,22.096984135,3.2306839584073276E-7,505494.0,100.0,?,505494.0,55880.0,10.0,0.0,0.0
513153.0,22.444134093,3.280868636623896E-7,513153.0,100.0,?,513153.0,55880.0,10.0,0.0,0.0
520812.0,22.780887353,3.3295503478038244E-7,520812.0,100.0,?,520812.0,55880.0,10.0,0.0,0.0
528471.0,23.116624363,3.3781546322159483E-7,528471.0,100.0,?,528471.0,55960.0,10.0,0.0,0.0
