"time","bagging","boosting","bagging_adwin","boosting_adwin","pame1","pame2","pame3","pame1adwin","pame2adwin","pame3adwin"
130000,8.86782469203696e-09,1.36620633350209e-08,4.34949747606243e-08,4.02167292645925e-08,1.35698523184823e-08,1.35535713325627e-08,1.39263450022994e-08,5.58414580632291e-08,5.59187536417693e-08,5.69371436356546e-08
140000,9.41744863836095e-09,1.4574145563013e-08,4.66636586063893e-08,4.31892711928218e-08,1.44833700868591e-08,1.44532836799675e-08,1.48555963874795e-08,6.00238412200991e-08,6.01170911672877e-08,6.11658443344281e-08
150000,9.96413135619834e-09,1.56261007234951e-08,4.98461175744277e-08,4.60501007514923e-08,1.53905599183279e-08,1.54721833101598e-08,1.57839424100208e-08,6.41679518238703e-08,6.42474456219624e-08,6.54714647409961e-08
160000,1.05130268374085e-08,1.66944594384233e-08,5.30325139133177e-08,4.86313417862915e-08,1.62903744004563e-08,1.64756249112739e-08,1.66978732170723e-08,6.83046813523687e-08,6.83975521370727e-08,6.97825331756286e-08
170000,1.10614323784411e-08,1.77534189468912e-08,5.63439873508985e-08,5.1216638069097e-08,1.7170122331772e-08,1.75094427112221e-08,1.75950098384606e-08,7.25469703392478e-08,7.25844641485852e-08,7.43095532970979e-08
180000,1.1607149030976e-08,1.88184705710163e-08,5.96573652918513e-08,5.38643280421053e-08,1.80394798933528e-08,1.8502527266122e-08,1.8479586891236e-08,7.67682909158534e-08,7.67798056221629e-08,7.86402957229254e-08
190000,1.21551802776754e-08,1.98707584256637e-08,6.30146555659216e-08,5.64910977788166e-08,1.89541417603795e-08,1.95539076053993e-08,1.93655374171481e-08,8.09877854691653e-08,8.09728747932075e-08,8.29688537281482e-08
2e+05,1.27013343469799e-08,2.09241427331087e-08,6.63162153619735e-08,5.91960529785458e-08,1.98692445334751e-08,2.0612266718975e-08,2.02501136697932e-08,8.52157757127906e-08,8.51746920733402e-08,8.7347772080118e-08
210000,1.3249513291195e-08,2.19891348808838e-08,6.95554185419819e-08,6.19216910086427e-08,2.07875266089497e-08,2.16804371442004e-08,2.11661803674429e-08,8.94382950451432e-08,8.95726925866016e-08,9.16535350848651e-08
220000,1.37951956494525e-08,2.30716929056744e-08,7.27595314660213e-08,6.47013046302088e-08,2.17004402142018e-08,2.27354537554934e-08,2.20613726646598e-08,9.36664965121945e-08,9.39169735425421e-08,9.58946441684829e-08
230000,1.43415231706761e-08,2.41754395915858e-08,7.59684640239883e-08,6.75274597434058e-08,2.25992665506899e-08,2.37772285004229e-08,2.30210838508565e-08,9.7900513682026e-08,9.82050641095059e-08,1.00141756835017e-07
240000,1.48815592981316e-08,2.53104380779341e-08,7.91719207482412e-08,7.03059481346462e-08,2.34610761100592e-08,2.47776499069668e-08,2.39638637052518e-08,1.02129406199385e-07,1.02526467752084e-07,1.04550432079124e-07
250000,1.54328753525577e-08,2.64089766702097e-08,8.23815568822498e-08,7.302531795088e-08,2.43207729216458e-08,2.58326746110059e-08,2.49017697375764e-08,1.06375319465453e-07,1.06744711905399e-07,1.09021208433294e-07
260000,1.59649453162216e-08,2.72709911467507e-08,8.55964514934561e-08,7.56308371151342e-08,2.51802154823144e-08,2.69211114443445e-08,2.57923008340059e-08,1.10763988376305e-07,1.11143618671869e-07,1.13485550265184e-07
270000,1.64849671985395e-08,2.81702910841546e-08,8.88145975734997e-08,7.81815173860246e-08,2.60400083400143e-08,2.79391812022837e-08,2.66750655460026e-08,1.15003484149579e-07,1.15377016510872e-07,1.17945132844899e-07
280000,1.70051850374602e-08,2.91998959696334e-08,9.20308190732408e-08,8.07359506119726e-08,2.69109103511398e-08,2.89448668030256e-08,2.75573024539732e-08,1.19242193053899e-07,1.19591892227456e-07,1.22216419955836e-07
290000,1.75255074814148e-08,3.02689052590521e-08,9.5248338306898e-08,8.33283266436495e-08,2.77710653554193e-08,2.99512830598673e-08,2.84396079750193e-08,1.23484624034675e-07,1.23812593895636e-07,1.26468636021333e-07
3e+05,1.80471133400314e-08,3.13897378352616e-08,9.84681345162665e-08,8.59893238228498e-08,2.86309291199015e-08,3.09678747943147e-08,2.93220917955703e-08,1.27791107090989e-07,1.28058404295606e-07,1.30715628770052e-07
310000,1.85677501531877e-08,3.25109437751149e-08,1.01689335315646e-07,8.87532419539243e-08,2.94912394789979e-08,3.19791221234099e-08,3.02253984576836e-08,1.32007452901275e-07,1.32300631167102e-07,1.34965096952389e-07
320000,1.90882863897644e-08,3.35902413071651e-08,1.04916536621439e-07,9.15808928521723e-08,3.03556253892473e-08,3.29850186613513e-08,3.11097519616824e-08,1.36222200318691e-07,1.36537670959499e-07,1.39272420978511e-07
330000,1.96084860781766e-08,3.46583697369819e-08,1.08272038590109e-07,9.44769904407362e-08,3.12311934667143e-08,3.39832035704412e-08,3.19945923487594e-08,1.40602238414995e-07,1.40936328805404e-07,1.43691967709956e-07
340000,2.01284423970245e-08,3.57535839099189e-08,1.11620273127196e-07,9.74808509186283e-08,3.20966820098149e-08,3.49587026184632e-08,3.28826732253201e-08,1.44979689991557e-07,1.45332207215623e-07,1.48150619676395e-07
350000,2.06498871024884e-08,3.66714985617643e-08,1.14973270749686e-07,1.00594498625236e-07,3.2957767115999e-08,3.59138894833004e-08,3.3773064889525e-08,1.4936071944156e-07,1.49732939826167e-07,1.5262175511309e-07
360000,2.11693846642412e-08,3.75907556226415e-08,1.18334700089548e-07,1.03712177073422e-07,3.38183325566248e-08,3.68743574669957e-08,3.46573942448302e-08,1.53748574202615e-07,1.54141264144517e-07,1.57196319818275e-07
370000,2.1688724644538e-08,3.85174012197678e-08,1.21702321587354e-07,1.06765428565467e-07,3.46788555217638e-08,3.78291180681479e-08,3.5541445200524e-08,1.58125565608471e-07,1.58536231777113e-07,1.61672838616957e-07
380000,2.22115447077714e-08,3.94529297297738e-08,1.25066750653837e-07,1.09853888722907e-07,3.55397891670983e-08,3.87883304798065e-08,3.64269593506286e-08,1.62512941048141e-07,1.62953411216728e-07,1.66222898284903e-07
390000,2.27328730448149e-08,4.03780922168659e-08,1.28432617814595e-07,1.12917336863826e-07,3.63991517757024e-08,3.97434094794633e-08,3.73105336344304e-08,1.66901426857548e-07,1.6742330967899e-07,1.70651132725107e-07
4e+05,2.32525939012505e-08,4.13075774801233e-08,1.31818921751434e-07,1.16028389854146e-07,3.72591365884638e-08,4.07094287593373e-08,3.81947383065791e-08,1.71287520010293e-07,1.71827116885918e-07,1.75538335744757e-07
410000,2.37739583820663e-08,4.22369644950041e-08,1.35221120721346e-07,1.19149657207541e-07,3.81191998444725e-08,4.17704481841293e-08,3.90789929982999e-08,1.75673293215032e-07,1.76232431891138e-07,1.8061853629903e-07
420000,2.42935124470107e-08,4.31481624152139e-08,1.3859266876253e-07,1.22333126122591e-07,3.8977617811662e-08,4.28021435890098e-08,3.9962547804645e-08,1.80061525491633e-07,1.80638520685414e-07,1.85264303977593e-07
430000,2.48133459878527e-08,4.40377711138502e-08,1.41961862326215e-07,1.25240575328507e-07,3.98390492675681e-08,4.38257287820511e-08,4.08462680779294e-08,1.84451220635201e-07,1.85047291521815e-07,1.89754140305937e-07
440000,2.53325056611188e-08,4.49192194667707e-08,1.45332073348686e-07,1.28110778574422e-07,4.06984490250775e-08,4.48469288553463e-08,4.17344582408543e-08,1.88842570244922e-07,1.89458986382679e-07,1.94229341496357e-07
450000,2.58538051250763e-08,4.58024459529958e-08,1.48704856483647e-07,1.30880375244431e-07,4.15586079614258e-08,4.5874421351196e-08,4.26197516693092e-08,1.93245859794457e-07,1.93872604258114e-07,1.98687531894483e-07
460000,2.63735371234082e-08,4.66845074266899e-08,1.52088467513174e-07,1.33719172461294e-07,4.24191159907997e-08,4.68866218335678e-08,4.35075315825848e-08,1.97658106998774e-07,1.98422008806529e-07,2.03148869449041e-07
470000,2.69068503257632e-08,4.75666044414085e-08,1.55455171376649e-07,1.36410885148272e-07,4.32805061295028e-08,4.79027390221838e-08,4.43917810925096e-08,2.02048959915205e-07,2.02991626584219e-07,2.07598998543471e-07
480000,2.74318559228629e-08,4.84461570875968e-08,1.58830574717058e-07,1.39171984848157e-07,4.41480681149392e-08,4.88819079248317e-08,4.52754814349301e-08,2.06448531980773e-07,2.07520629954119e-07,2.12057321956803e-07
490000,2.7954973709844e-08,4.93253972029024e-08,1.62208310646357e-07,1.41940959327494e-07,4.50683970150827e-08,4.97713338394235e-08,4.6158827216768e-08,2.10851148588403e-07,2.12104936256003e-07,2.16522433234565e-07
5e+05,2.84787544696033e-08,5.02087623707536e-08,1.6556994631249e-07,1.44744958483378e-07,4.59749857582131e-08,5.06675980559198e-08,4.70426087876513e-08,2.15232814685448e-07,2.16654917519614e-07,2.20968699167151e-07
510000,2.90020042895526e-08,5.10867680298413e-08,1.68549546018491e-07,1.4731079808188e-07,4.68703144204886e-08,5.15705300741808e-08,4.79288214133783e-08,2.19215154435833e-07,2.20697460060238e-07,2.25074403307473e-07
520000,2.95254856557771e-08,5.19653348545772e-08,1.71168198515599e-07,1.49951168439413e-07,4.7767288920244e-08,5.24736280204087e-08,4.88125599524938e-08,2.22770151070067e-07,2.24178355052666e-07,2.28581205972356e-07
530000,3.00491290287673e-08,5.2844429346174e-08,1.73855092212972e-07,1.52737423361366e-07,4.86604030810276e-08,5.33763166580929e-08,4.96981481870409e-08,2.26413228636812e-07,2.27750264286653e-07,2.32182576815629e-07
540000,3.0573723311685e-08,5.37233420176928e-08,1.76559996940667e-07,1.55588605840666e-07,4.95555084612365e-08,5.42799577327466e-08,5.05907669490741e-08,2.30070536791068e-07,2.31339827012674e-07,2.35786114282867e-07
550000,3.10968364412337e-08,5.46033802591306e-08,1.79395483354835e-07,1.58417036065372e-07,5.04507010937461e-08,5.51771573586783e-08,5.14750944183581e-08,2.33901461524688e-07,2.35096949391996e-07,2.39562801890164e-07
560000,3.16215382756479e-08,5.54812201464673e-08,1.82094867235993e-07,1.61302712457391e-07,5.13453725899818e-08,5.60813893676363e-08,5.23602203833581e-08,2.37744351652209e-07,2.3887149050671e-07,2.4335746899985e-07
570000,3.21453463734873e-08,5.63563188332278e-08,1.84790175971861e-07,1.64233661715637e-07,5.22400843518207e-08,5.70227811408022e-08,5.32656126497872e-08,2.41593021645846e-07,2.42646137212438e-07,2.47139336188856e-07
580000,3.2668039914798e-08,5.72319355014629e-08,1.87485557488691e-07,1.67173656895887e-07,5.31325555431615e-08,5.79248586427979e-08,5.42151883077394e-08,2.45454469705992e-07,2.46432438692535e-07,2.50923058099881e-07
590000,3.31906139652617e-08,5.81080538208948e-08,1.90300572990684e-07,1.7019741404457e-07,5.40289855047377e-08,5.88259663716683e-08,5.51637833717569e-08,2.49479888840783e-07,2.50385217262856e-07,2.54971926749127e-07
6e+05,3.3713371205572e-08,5.8984101538356e-08,1.93123610777275e-07,1.73189119867341e-07,5.4923754639727e-08,5.97258230968648e-08,5.61117896999233e-08,2.53515309390473e-07,2.54343182153799e-07,2.59107683420266e-07
610000,3.4249081147369e-08,5.98592280696498e-08,1.95984523627092e-07,1.76183655232744e-07,5.58188542132763e-08,6.06295349030341e-08,5.70293585468974e-08,2.57567546282618e-07,2.58286420859212e-07,2.6307728635731e-07
620000,3.47718367253803e-08,6.07345198468947e-08,1.98799457325629e-07,1.79184056955383e-07,5.67139696217846e-08,6.15272442424276e-08,5.79137521259921e-08,2.61594160063772e-07,2.62207869507383e-07,2.67050662171412e-07
