learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),model training instances,model serialized size (bytes),ensemble size,negative weights,KL-div
7.0,0.019229756,1.9091106854379178E-10,7.0,71.42857142857143,0.0,7.0,38376.0,10.0,0.0,0.0
14.0,0.090973182,9.126752890605066E-10,14.0,64.28571428571429,10.256410256410241,14.0,38888.0,10.0,0.0,0.0
21.0,0.139326826,1.4201453618746666E-9,21.0,66.66666666666666,3.921568627450953,21.0,40568.0,10.0,0.0,0.0
28.0,0.158445298,1.620793163681196E-9,28.0,67.85714285714286,24.096385542168676,28.0,40568.0,10.0,0.0,0.0
35.0,0.17357537,1.7795828246946139E-9,35.0,71.42857142857143,33.71212121212121,35.0,40568.0,10.0,0.0,0.0
42.0,0.186115176,1.916637735548947E-9,42.0,73.80952380952381,34.1880341880342,42.0,42248.0,10.0,0.0,0.0
49.0,0.19545436,2.018711167193122E-9,49.0,77.55102040816327,46.153846153846146,49.0,42248.0,10.0,0.0,0.0
56.0,0.205721144,2.130922884494067E-9,56.0,80.35714285714286,52.76073619631904,56.0,42248.0,10.0,0.0,0.0
63.0,0.214664428,2.228669292322464E-9,63.0,82.53968253968253,54.853420195439725,63.0,42248.0,10.0,0.0,0.0
70.0,0.224950422,2.3410909670053264E-9,70.0,82.85714285714286,55.17609391675562,70.0,42248.0,10.0,0.0,0.0
77.0,0.231886944,2.41991902511153E-9,77.0,84.4155844155844,59.50920245398772,77.0,43928.0,10.0,0.0,0.0
84.0,0.239376586,2.5050328522962005E-9,84.0,85.71428571428571,65.02428868841082,84.0,43928.0,10.0,0.0,0.0
91.0,0.246127176,2.581747941035364E-9,91.0,85.71428571428571,65.43967280163598,91.0,43928.0,10.0,0.0,0.0
98.0,0.254195222,2.6734348698581264E-9,98.0,86.73469387755102,67.87695410993445,98.0,43928.0,10.0,0.0,0.0
105.0,0.26113018,2.7522451543476853E-9,105.0,86.66666666666667,68.58974358974359,105.0,43928.0,10.0,0.0,0.0
112.0,0.26886485,2.840143529959024E-9,112.0,87.5,70.95220452019267,112.0,43928.0,10.0,0.0,0.0
119.0,0.27546831,2.9151866032141785E-9,119.0,87.39495798319328,70.4225352112676,119.0,43928.0,10.0,0.0,0.0
126.0,0.28292471,2.9999226614957063E-9,126.0,88.09523809523809,71.57894736842105,126.0,43928.0,10.0,0.0,0.0
133.0,0.290509622,3.086119156492254E-9,133.0,87.96992481203007,71.46688120139449,133.0,43928.0,10.0,0.0,0.0
140.0,0.297338044,3.163718744036225E-9,140.0,87.85714285714286,72.03947368421053,140.0,43928.0,10.0,0.0,0.0
147.0,0.304619574,3.2464675437865992E-9,147.0,88.43537414965986,72.98086279597794,147.0,43928.0,10.0,0.0,0.0
154.0,0.311341768,3.3228599345601273E-9,154.0,88.96103896103897,74.15597235932874,154.0,43928.0,10.0,0.0,0.0
161.0,0.319448876,3.4185142605503406E-9,161.0,89.44099378881988,76.00175361683472,161.0,45608.0,10.0,0.0,0.0
168.0,0.326262174,3.4989031523673075E-9,168.0,89.88095238095238,76.93798449612403,168.0,45608.0,10.0,0.0,0.0
175.0,0.333570702,3.5851351749110558E-9,175.0,90.28571428571428,78.00369685767097,175.0,45608.0,10.0,0.0,0.0
182.0,0.340292086,3.664439589782722E-9,182.0,90.65934065934066,78.79369431117203,182.0,45608.0,10.0,0.0,0.0
189.0,0.346914334,3.742574316615032E-9,189.0,91.005291005291,79.85706225315026,189.0,45608.0,10.0,0.0,0.0
196.0,0.3537229,3.822907376405265E-9,196.0,90.81632653061224,79.6116504854369,196.0,45608.0,10.0,0.0,0.0
203.0,0.360416306,3.9018816838289295E-9,203.0,91.13300492610837,79.96930161166539,203.0,45608.0,10.0,0.0,0.0
210.0,0.36643661,3.972914180420339E-9,210.0,91.42857142857143,80.99547511312217,210.0,45608.0,10.0,0.0,0.0
217.0,0.373079378,4.0512910190845526E-9,217.0,91.70506912442397,81.55981493721085,217.0,45608.0,10.0,0.0,0.0
224.0,0.37983261,4.1309712028462026E-9,224.0,91.96428571428571,82.20338983050847,224.0,45608.0,10.0,0.0,0.0
231.0,0.386466256,4.209240412654148E-9,231.0,92.20779220779221,82.69950902887575,231.0,45608.0,10.0,0.0,0.0
238.0,0.392664784,4.282375742536452E-9,238.0,92.01680672268907,82.29027962716377,238.0,45608.0,10.0,0.0,0.0
245.0,0.399319222,4.360890273455944E-9,245.0,92.24489795918367,82.75606593813669,245.0,45608.0,10.0,0.0,0.0
252.0,0.405396854,4.4325991729274385E-9,252.0,92.06349206349206,82.36775818639798,252.0,45608.0,10.0,0.0,0.0
259.0,0.412656352,4.518252699217862E-9,259.0,92.27799227799228,82.80669144981414,259.0,45608.0,10.0,0.0,0.0
266.0,0.418667548,4.589177732136514E-9,266.0,92.4812030075188,83.03571428571429,266.0,45608.0,10.0,0.0,0.0
273.0,0.4254392,4.66907525020341E-9,273.0,92.67399267399267,83.34553440702783,273.0,45608.0,10.0,0.0,0.0
