learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),model training instances,model serialized size (bytes),ensemble size,change detections,[avg] model training instances,[err] model training instances,[avg] model serialized size (bytes),[err] model serialized size (bytes)
1653.0,0.42658,1.3154572890036635E-8,1653.0,48.0,-5.46982751626669,1653.0,122408.0,10.0,0.0,1669.4,14.545102268461367,9480.0,0.0
1710.0,0.436344,1.3463769840697447E-8,1710.0,48.199999999999996,-5.093163669415053,1710.0,122408.0,10.0,0.0,1731.7,14.908647751482281,9480.0,0.0
1767.0,0.44624,1.3777146840261088E-8,1767.0,47.0,-7.11398544866613,1767.0,122408.0,10.0,0.0,1787.8,14.956826757927853,9480.0,0.0
1824.0,0.456392,1.4098630601333247E-8,1824.0,47.3,-6.382978723404251,1824.0,122408.0,10.0,0.0,1846.1000000000001,15.696744177624154,9480.0,0.0
1881.0,0.466178,1.4408524226811197E-8,1881.0,47.4,-5.964640848361795,1881.0,122408.0,10.0,0.0,1906.3,15.981969006769267,9480.0,0.0
1938.0,0.47589,1.471607449154059E-8,1938.0,47.199999999999996,-6.323424580848099,1938.0,122408.0,10.0,0.0,1960.2,17.048167056900866,9480.0,0.0
1995.0,0.485316,1.501456798364719E-8,1995.0,47.0,-6.186888924507136,1995.0,122408.0,10.0,0.0,2016.9,18.558885263458635,9480.0,0.0
2052.0,0.494839,1.5316133178356623E-8,2052.0,45.800000000000004,-8.436868535302,2052.0,122408.0,10.0,0.0,2074.8999999999996,19.66635592974856,9480.0,0.0
2109.0,0.50437,1.56179517093632E-8,2109.0,47.4,-5.578392960369974,2109.0,122408.0,10.0,0.0,2131.3,22.660317738284242,9480.0,0.0
2166.0,0.514101,1.5926103647798304E-8,2166.0,47.3,-6.31258724894494,2166.0,122408.0,10.0,0.0,2186.0,23.305221160360894,9480.0,0.0
2223.0,0.523701,1.623010720436772E-8,2223.0,47.3,-5.673906766338346,2223.0,122408.0,10.0,0.0,2243.4000000000005,23.935654483543043,9480.0,0.0
2280.0,0.5332,1.653091239018573E-8,2280.0,47.5,-5.223916494299865,2280.0,122408.0,10.0,0.0,2300.2999999999997,24.43997181304067,9480.0,0.0
2337.0,0.542734,1.6832825922303732E-8,2337.0,47.4,-5.325126249984984,2337.0,122408.0,10.0,0.0,2361.7000000000003,24.63468647614126,9480.0,0.0
2394.0,0.552029,1.7127171032544644E-8,2394.0,47.599999999999994,-4.873411387971576,2394.0,122408.0,10.0,0.0,2413.1000000000004,25.895280565299053,9480.0,0.0
2451.0,0.561947,1.744124470692542E-8,2451.0,47.8,-4.443866423898051,2451.0,122408.0,10.0,0.0,2470.5,26.68801229016503,9480.0,0.0
2508.0,0.572121,1.776342514281472E-8,2508.0,48.8,-2.6994716593586836,2508.0,122408.0,10.0,0.0,2521.0999999999995,26.428709137350406,9480.0,0.0
2565.0,0.58199,1.8080236369536986E-8,2565.0,49.5,-1.306350403620541,2565.0,124088.0,10.0,0.0,2577.9,25.521428904615284,9480.0,0.0
2622.0,0.591778,1.839444736225738E-8,2622.0,50.0,-0.7126426594583355,2622.0,124088.0,10.0,0.0,2638.0999999999995,24.997533211632458,9480.0,0.0
2679.0,0.601353,1.870182070260247E-8,2679.0,49.5,-1.2024048096192395,2679.0,124088.0,10.0,0.0,2694.9,25.48396009693591,9480.0,0.0
2736.0,0.611011,1.9011858480258125E-8,2736.0,50.1,0.4174882057586198,2736.0,124088.0,10.0,0.0,2745.4,25.9979486370239,9480.0,0.0
2793.0,0.620773,1.932523482996557E-8,2793.0,50.1,0.1544704385199641,2793.0,124088.0,10.0,0.0,2802.0,25.97220736779136,9480.0,0.0
2850.0,0.630447,1.963578623409073E-8,2850.0,49.8,-0.8194087403599141,2850.0,124088.0,10.0,0.0,2861.8,26.722358512010953,9480.0,0.0
2907.0,0.639777,1.993529466912151E-8,2907.0,50.7,0.44748150302090317,2907.0,124088.0,10.0,0.0,2919.3,25.417863359806184,9480.0,0.0
2964.0,0.649349,2.0242571704503567E-8,2964.0,50.4,-0.6350558970925327,2964.0,124088.0,10.0,0.0,2978.5,25.545710664088663,9480.0,0.0
3021.0,0.658786,2.054551501654917E-8,3021.0,50.8,-0.12699032919799866,3021.0,124088.0,10.0,0.0,3035.4,26.180230030395922,9480.0,0.0
