learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),model training instances,model serialized size (bytes)
273.0,0.072395246,2.2036154463473292E-10,273.0,73.992673992674,45.90136481621035,273.0,11824.0
280.0,0.07313792,2.2263329324209027E-10,280.0,74.28571428571429,46.48261215821609,280.0,11824.0
287.0,0.07388663,2.2492350523256592E-10,287.0,73.86759581881533,46.00526777875329,287.0,11824.0
294.0,0.074631533,2.272020720773273E-10,294.0,73.80952380952381,45.730450208563084,294.0,11824.0
301.0,0.075971092,2.3129961863574056E-10,301.0,73.421926910299,45.05795381947614,301.0,11824.0
308.0,0.076834594,2.339409652642078E-10,308.0,73.05194805194806,44.343812592528096,308.0,11824.0
315.0,0.077604603,2.362963282813629E-10,315.0,73.33333333333333,44.73684210526314,315.0,11824.0
322.0,0.078349741,2.3857561396227946E-10,322.0,73.6024844720497,44.945085891298234,322.0,11824.0
329.0,0.079131372,2.4096652725090587E-10,329.0,73.25227963525836,44.4384739387426,329.0,11824.0
336.0,0.080524173,2.4522693455219273E-10,336.0,73.21428571428571,44.29708222811669,336.0,11824.0
343.0,0.081327018,2.4768273886293175E-10,343.0,73.46938775510205,44.48159940235856,343.0,11824.0
350.0,0.082082876,2.499948157080346E-10,350.0,73.14285714285714,43.86623443098448,350.0,11824.0
357.0,0.082841738,2.52316081420415E-10,357.0,72.82913165266106,43.28042848017295,357.0,11824.0
364.0,0.08380513,2.552629792980022E-10,364.0,73.07692307692307,43.52836879432624,364.0,11824.0
371.0,0.085115006,2.592697292028202E-10,371.0,73.04582210242587,43.570711526176495,371.0,11824.0
378.0,0.08574349,2.611921846162942E-10,378.0,73.54497354497354,44.785276073619634,378.0,11824.0
385.0,0.086512063,2.635431550857094E-10,385.0,74.02597402597402,45.659844742413554,385.0,11824.0
392.0,0.087279006,2.65889139585197E-10,392.0,74.23469387755102,46.00698232598735,392.0,11824.0
399.0,0.08801919,2.6815327158818645E-10,399.0,73.93483709273183,45.437332351548946,399.0,11824.0
406.0,0.089268255,2.719740081081788E-10,406.0,73.89162561576354,45.29831964816838,406.0,11824.0
413.0,0.089946998,2.7405019963367124E-10,413.0,73.8498789346247,45.70287773287238,413.0,11824.0
420.0,0.090619158,2.761062545701862E-10,420.0,74.04761904761905,46.2171052631579,420.0,11824.0
427.0,0.091290396,2.78159489221871E-10,427.0,74.47306791569088,47.44288989012727,427.0,11824.0
434.0,0.091993935,2.8031152866780766E-10,434.0,74.42396313364056,47.404851846190816,434.0,11824.0
441.0,0.09313042,2.837878967862991E-10,441.0,74.37641723356009,47.26276020445959,441.0,11824.0
448.0,0.093730593,2.8562375232577334E-10,448.0,74.77678571428571,48.082208639291125,448.0,11824.0
455.0,0.094384712,2.876246220577095E-10,455.0,74.50549450549451,47.56606397774687,455.0,11824.0
462.0,0.095078721,2.897475104033948E-10,462.0,74.24242424242425,47.06833805095027,462.0,11824.0
469.0,0.095747316,2.9179266044249147E-10,469.0,73.98720682302772,46.48422155296583,469.0,11824.0
476.0,0.096928335,2.954052526007097E-10,476.0,73.94957983193278,46.295925609156924,476.0,11824.0
483.0,0.097594945,2.9744433076845287E-10,483.0,73.70600414078675,45.664478754218614,483.0,11824.0
490.0,0.098231476,2.993914009672073E-10,490.0,74.08163265306122,46.334017489090876,490.0,11824.0
497.0,0.098906628,3.0145660806447275E-10,497.0,74.04426559356136,46.21708456718145,497.0,11824.0
504.0,0.099546547,3.0341404173937114E-10,504.0,74.20634920634922,46.42857142857144,504.0,11824.0
511.0,0.100723147,3.070131167189943E-10,511.0,74.36399217221134,46.63291744728345,511.0,11824.0
518.0,0.101356075,3.0894916578299475E-10,518.0,74.13127413127413,46.024883359253494,518.0,11824.0
525.0,0.102052267,3.110787316577303E-10,525.0,74.09523809523809,46.02113794094077,525.0,11824.0
532.0,0.102742756,3.131908527554738E-10,532.0,74.24812030075188,46.32515391639909,532.0,11824.0
539.0,0.103408732,3.1522799159503655E-10,539.0,74.39703153988869,46.824420932227625,539.0,11824.0
546.0,0.104715069,3.192239161332449E-10,546.0,74.35897435897436,46.74877739539939,546.0,11824.0
553.0,0.105621234,3.2199576364209263E-10,553.0,74.14104882459313,46.18169691772664,553.0,11824.0
560.0,0.106289938,3.2404124709881024E-10,560.0,74.28571428571429,46.468401486988846,560.0,11824.0
567.0,0.106958663,3.260867947919502E-10,567.0,74.25044091710758,46.55363875832862,567.0,11824.0
574.0,0.107631316,3.2814435775495246E-10,574.0,74.21602787456446,46.4484732343226,574.0,11824.0
581.0,0.108859083,3.318999463071427E-10,581.0,74.35456110154905,46.72119544813919,581.0,11824.0
588.0,0.109526648,3.339419457026655E-10,588.0,74.31972789115646,46.55961093990755,588.0,11824.0
595.0,0.110193416,3.3598150717301515E-10,595.0,74.28571428571429,46.63989918232175,595.0,11824.0
602.0,0.110881843,3.380873208658564E-10,602.0,74.58471760797342,47.262525050100194,602.0,11824.0
609.0,0.111584386,3.402363136700459E-10,609.0,74.71264367816092,47.513515328565184,609.0,11824.0
616.0,0.112307147,3.424471508546009E-10,616.0,74.83766233766234,47.75890746739036,616.0,11824.0
623.0,0.113521678,3.461622521074283E-10,623.0,75.12038523274478,48.180008264152356,623.0,11824.0
630.0,0.114172759,3.481538289702602E-10,630.0,75.07936507936508,48.01488442496294,630.0,11824.0
637.0,0.114849383,3.5022353873484675E-10,637.0,75.0392464678179,48.10444388651771,637.0,11824.0
644.0,0.11543808,3.520255089696084E-10,644.0,75.31055900621118,48.59225640613703,644.0,11832.0
651.0,0.116026671,3.5382715474400264E-10,651.0,75.26881720430107,48.55725104666172,651.0,11832.0
658.0,0.117237563,3.5753363081150595E-10,658.0,75.22796352583586,48.44400434544352,658.0,11832.0
665.0,0.117876475,3.5948930649293804E-10,665.0,75.18796992481202,48.4120454171466,665.0,11832.0
672.0,0.118586959,3.616640602631702E-10,672.0,75.29761904761905,48.6281119615374,672.0,11832.0
679.0,0.119165794,3.6343584343997974E-10,679.0,75.55228276877762,49.16151729737043,679.0,11832.0
686.0,0.119802081,3.653834841358993E-10,686.0,75.80174927113703,49.45763133133312,686.0,11832.0
690.0,0.120926356,3.6882483016906515E-10,690.0,75.94202898550725,49.700062358923915,690.0,11832.0
