learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),model training instances,model serialized size (bytes)
602.0,0.108905485,3.2749372576880795E-10,602.0,54.98338870431893,-0.8157110899630501,602.0,11624.0
609.0,0.109647081,3.2972380662336953E-10,609.0,55.008210180623976,-0.8046685273115997,609.0,11624.0
616.0,0.11071854,3.3294583074748523E-10,616.0,55.032467532467535,-0.7939133311280051,616.0,11624.0
623.0,0.111368385,3.3490000376477845E-10,623.0,55.21669341894061,-0.7675673795458399,623.0,11624.0
630.0,0.111915695,3.365458399781751E-10,630.0,54.920634920634924,-0.7886435331230284,630.0,11624.0
637.0,0.112526464,3.38382506105635E-10,637.0,54.94505494505495,-0.7783602617318749,637.0,11624.0
644.0,0.113064732,3.4000115178525456E-10,644.0,54.81366459627329,-0.7830146062340013,644.0,11624.0
651.0,0.113718634,3.4196752475781583E-10,651.0,54.68509984639017,-0.7872156183578758,651.0,11624.0
658.0,0.114819896,3.452791705893147E-10,658.0,54.86322188449848,-0.7630990069400402,658.0,11624.0
665.0,0.115356138,3.4689172380914303E-10,665.0,54.88721804511278,-0.7535049088925478,665.0,11624.0
672.0,0.115984131,3.4878018486623973E-10,672.0,55.05952380952381,-0.730622617534951,672.0,11624.0
679.0,0.116531212,3.504253324452375E-10,679.0,54.93372606774669,-0.7350017938697954,679.0,11624.0
686.0,0.117134186,3.522385579389004E-10,686.0,54.81049562682215,-0.7389862624348625,686.0,11624.0
689.0,0.117747353,3.540824351811576E-10,689.0,55.00725689404935,-0.7186441956749013,689.0,11624.0
