learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),model training instances,model serialized size (bytes),tree size (nodes),tree size (leaves),active learning leaves,tree depth,active leaf byte size estimate,inactive leaf byte size estimate,byte size estimate overhead
38.0,0.153987632,1.7769074426756964E-10,38.0,89.47368421052632,0.0,38.0,4928.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
39.0,0.154550329,1.7840811380081705E-10,39.0,89.74358974358975,0.0,39.0,4928.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
40.0,0.155071844,1.7907298134432896E-10,40.0,90.0,0.0,40.0,4928.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
41.0,0.155628289,1.7978238034579487E-10,41.0,90.2439024390244,0.0,41.0,4928.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
42.0,0.156180084,1.8048585116863248E-10,42.0,90.47619047619048,0.0,42.0,4928.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
43.0,0.156746309,1.8120771846837466E-10,43.0,90.69767441860465,0.0,43.0,4928.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
44.0,0.157294781,1.81906952874528E-10,44.0,90.9090909090909,0.0,44.0,4928.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
45.0,0.157852283,1.8261769942111437E-10,45.0,91.11111111111111,0.0,45.0,4928.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
46.0,0.158390827,1.8330427684717707E-10,46.0,91.30434782608695,0.0,46.0,4928.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
47.0,0.158910379,1.8396664180689386E-10,47.0,91.48936170212765,0.0,47.0,4928.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
48.0,0.159430927,1.8463027654422652E-10,48.0,91.66666666666666,0.0,48.0,4928.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
49.0,0.15998032,1.8533068511221141E-10,49.0,91.83673469387756,0.0,49.0,4928.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
50.0,0.160535815,1.8603887298040918E-10,50.0,92.0,0.0,50.0,4928.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
51.0,0.161074757,1.8672595780756738E-10,51.0,92.15686274509804,0.0,51.0,4928.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
52.0,0.161599889,1.8739543658163812E-10,52.0,92.3076923076923,0.0,52.0,4928.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
53.0,0.162438874,1.884650393658214E-10,53.0,92.45283018867924,0.0,53.0,4928.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
54.0,0.163175995,1.8940477806660863E-10,54.0,92.5925925925926,0.0,54.0,4928.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
55.0,0.163694893,1.900663092566861E-10,55.0,92.72727272727272,0.0,55.0,4928.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
56.0,0.164232883,1.9075218040082187E-10,56.0,91.07142857142857,0.0,56.0,4928.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
57.0,0.164791279,1.914640666875574E-10,57.0,91.22807017543859,0.0,57.0,4928.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
58.0,0.165333529,1.9215536880824298E-10,58.0,91.37931034482759,0.0,58.0,4928.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
59.0,0.165885196,1.928586764468087E-10,59.0,91.52542372881356,0.0,59.0,4928.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
60.0,0.167213214,1.9455173621575038E-10,60.0,91.66666666666666,0.0,60.0,4928.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
61.0,0.168182523,1.957874860862891E-10,61.0,91.80327868852459,0.0,61.0,4928.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
62.0,0.169223227,1.9711425580912167E-10,62.0,90.32258064516128,0.0,62.0,4928.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
63.0,0.170190536,1.9834745592541165E-10,63.0,90.47619047619048,0.0,63.0,4928.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
64.0,0.170783581,1.9910351542962922E-10,64.0,90.625,0.0,64.0,4928.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
65.0,0.171380086,1.998639860086971E-10,65.0,90.76923076923077,0.0,65.0,4928.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
66.0,0.171998472,2.0065235217412314E-10,66.0,90.9090909090909,0.0,66.0,4928.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
67.0,0.172586029,2.014014151526822E-10,67.0,91.04477611940298,0.0,67.0,4928.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
68.0,0.17318965,2.0217095775736702E-10,68.0,91.17647058823529,0.0,68.0,4928.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
69.0,0.17439391,2.0370624128315184E-10,69.0,91.30434782608695,0.0,69.0,4928.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
70.0,0.175337965,2.049097954067919E-10,70.0,91.42857142857143,0.0,70.0,4928.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
71.0,0.175831881,2.0553947761654853E-10,71.0,91.54929577464789,0.0,71.0,4928.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
72.0,0.176299684,2.061358689599567E-10,72.0,91.66666666666666,0.0,72.0,4928.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
73.0,0.176761503,2.0672463143865267E-10,73.0,90.41095890410958,0.0,73.0,4928.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
